genus	statistic	p.value	parameter	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj
Betaproteobacteria unclassified	38.54117647058825	2.937266427534004e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0062534485929740665	7.862661438769848e-6
Burkholderiales unclassified	38.53293413173654	2.9484980395386926e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.00916997293675609	7.862661438769848e-6
Parasutterella	38.675	2.7607571712332344e-7	5	Kruskal-Wallis rank sum test	0	0	0.027110538900128746	7.050456746980565e-4	0	0	7.862661438769848e-6
Butyricimonas	34.575980691677856	1.8281528419264688e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.01823922506284103	0	2.627499408812633e-5	3.6563056838529375e-5
Parabacteroides	33.25817378497791	3.344279029597343e-6	5	Kruskal-Wallis rank sum test	1.532707988474036e-4	4.5981239654221075e-5	7.356998344675372e-5	0.07501072895591931	0.34862975905830423	0.081321106702751	5.3508464473557485e-5
Romboutsia	31.39204545454548	7.837192478054762e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.007816810741217584	0	0	1.0449589970739682e-4
Mucispirillum	29.661819991154367	1.719005260786992e-5	5	Kruskal-Wallis rank sum test	0	0	9.196247930844216e-4	0.004046349089571455	0.0342560235423947	0.012401797209595628	1.9645774408994196e-4
Turicibacter	28.880638360462832	2.4471835344351054e-5	5	Kruskal-Wallis rank sum test	0.01704371283183128	0.031864999080375205	0.038035681441971676	0.0015020538287045552	1.1495309913555268e-4	0	2.4471835344351057e-4
Bacteroides	28.317774837078517	3.1545122064933916e-5	5	Kruskal-Wallis rank sum test	0.1053890012874747	0.02600239102446202	0.30141622218135	0.3955306235056097	2.299061982711054e-4	0.025749494206363802	2.804010850216348e-4
Alistipes	26.556489840389418	6.958072338846986e-5	5	Kruskal-Wallis rank sum test	0.021519220158175464	0.13403531359205445	0	0.006437373551590951	4.5981239654221075e-5	0.024751044431015005	5.566457871077589e-4
Desulfovibrionaceae unclassified	26.123492875410978	8.444689261542072e-5	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.004965973882655877	6.141592190212415e-4
Bacteroidetes unclassified	25.844937586685127	9.56318793376354e-5	5	Kruskal-Wallis rank sum test	0	9.196247930844215e-5	0	0.021703145116792347	0	0.011718647363304342	6.375458622509027e-4
Anaeroplasma	25.416511580467006	1.1576005427012694e-4	5	Kruskal-Wallis rank sum test	0.0012874747103181902	0.0010345778922199742	0.0055545337502299055	0	4.5981239654221075e-5	7.8824982264379e-5	7.055002388304906e-4
Roseburia	25.271844244758263	1.2346254179533585e-4	5	Kruskal-Wallis rank sum test	0	0	2.57494942063638e-4	8.276623137759794e-4	0	0	7.055002388304906e-4
Bifidobacterium	24.64440301170426	1.631773577487892e-4	5	Kruskal-Wallis rank sum test	0.0016859787873214397	0.007494942063638036	0	7.663539942370179e-4	0	0	8.702792413268756e-4
Rhodospirillaceae unclassified	24.470588235294088	1.7625902670206052e-4	5	Kruskal-Wallis rank sum test	0	0	0	0.0024216786217889767	0	0	8.812951335103026e-4
Porphyromonadaceae unclassified	23.8904979292169	2.2788841706022147e-4	5	Kruskal-Wallis rank sum test	0.6408558641407639	0.37352860033106494	0.269302924406842	0.033167800870578135	5.057936361964318e-4	0.3053417062981161	0.0010724160802833952
Clostridium sensu stricto	22.82320776475108	3.648714761702796e-4	5	Kruskal-Wallis rank sum test	0	2.2990619827110538e-5	3.3106492551039174e-4	0.003157378456256514	0	0	0.0016216510052012426
Proteus	22.0834782817605	5.048072509725865e-4	5	Kruskal-Wallis rank sum test	0	0	0.0010667647599779289	0	9.656060327386426e-4	0	0.002125504214621417
Clostridium XVIII	20.591095041655898	9.675355616650777e-4	5	Kruskal-Wallis rank sum test	0	0	0.0011403347434246827	3.678499172337686e-4	0.0014254184292808534	4.729498935862739e-4	0.0038701422466603107
Enterorhabdus	18.945553438496983	0.001967539217341284	5	Kruskal-Wallis rank sum test	9.196247930844216e-4	0.0014943902887621851	5.885598675740298e-4	6.130831953896143e-5	6.207467353319846e-4	4.992248876744003e-4	0.007495387494633464
Eisenbergiella	18.80572399422859	0.0020890201555971207	5	Kruskal-Wallis rank sum test	0	3.2186867757954754e-4	0.0030531543130402797	6.743915149285758e-4	0.00427625528784256	7.882498226437898e-5	0.007596436929444075
Asaccharobacter	18.493546075837727	0.002387408939309054	5	Kruskal-Wallis rank sum test	0	0	3.678499172337686e-4	1.532707988474036e-4	0	2.627499408812633e-5	0.008304031093248882
Clostridia unclassified	17.74915968374106	0.003277776710424205	5	Kruskal-Wallis rank sum test	4.2915823677273e-4	5.747654956777635e-4	0.0019863895530623506	6.437373551590951e-4	0.0026209306602906013	9.984497753488006e-4	0.010925922368080685
Coriobacteriaceae unclassified	17.03413300540524	0.00443551565424779	5	Kruskal-Wallis rank sum test	6.437373551590951e-4	0.0010115872723928637	1.4713996689350744e-4	6.130831953896143e-5	5.057936361964318e-4	3.4157492314564226e-4	0.013647740474608585
Pseudoflavonifractor	17.054300764926676	0.004397957124459434	5	Kruskal-Wallis rank sum test	1.2261663907792286e-4	4.8280301636932134e-4	5.51774875850653e-4	0.0035558825332597634	0.0025749494206363803	0.001839249586168843	0.013647740474608585
Clostridium IV	16.719039410038327	0.005064652769851167	5	Kruskal-Wallis rank sum test	3.985040770032493e-4	5.51774875850653e-4	2.2070995034026116e-4	9.502789528539023e-4	0.0025289681809821593	0.001103549751701306	0.015006378577336792
Olsenella	16.5417538377938	0.005456091503396107	5	Kruskal-Wallis rank sum test	3.985040770032493e-4	2.528968180982159e-4	5.14989884127276e-4	6.130831953896143e-5	0	0	0.015588832866846019
Clostridium XlVa	15.102525060292878	0.009933130383339471	5	Kruskal-Wallis rank sum test	0.0033106492551039177	0.0027588743792532648	0.002611734412359757	0.003923732450493532	2.758874379253265e-4	0.0016553246275519589	0.027401738988522682
Deltaproteobacteria unclassified	14.88052415210693	0.010885226399138732	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0012349247221419375	0.029027270397703284
Enterococcus	14.41260944452421	0.013190359687079	5	Kruskal-Wallis rank sum test	0	2.2990619827110538e-5	1.4713996689350744e-4	9.196247930844215e-5	2.2990619827110538e-5	0.005097348853096508	0.03372346606677474
Lachnospiraceae unclassified	14.35781358885015	0.013489386426709896	5	Kruskal-Wallis rank sum test	0.09735761142787076	0.16829133713444913	0.16336214824351664	0.22901722763779045	0.3774829869413279	0.11781707349115847	0.03372346606677474
Akkermansia	12.373778415945104	0.030009996640342894	5	Kruskal-Wallis rank sum test	0.016062779719207897	0.10952731285635461	0.07162037888541475	0.011280730795168904	0.07255839617436086	0.04353766520402533	0.07220046948919127
Dorea	12.317647629071562	0.030685199532906292	5	Kruskal-Wallis rank sum test	6.130831953896143e-5	1.839249586168843e-4	7.356998344675373e-4	1.532707988474036e-4	0.0015633621482435166	7.882498226437898e-5	0.07220046948919127
Blautia	12.10709077019236	0.033349491810188335	5	Kruskal-Wallis rank sum test	0	0	0	0	2.528968180982159e-4	0.010615097611603038	0.07622740985185905
Odoribacter	11.80426347009396	0.037570518837083636	5	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0	0	0.0027588743792532648	0.08349004186018585
Acetitomaculum	11.631578947368405	0.040200015334752835	5	Kruskal-Wallis rank sum test	0	0	0	6.130831953896143e-5	0	0	0.08667813667668876
Erysipelotrichaceae unclassified	11.570442926323043	0.041172114921427166	5	Kruskal-Wallis rank sum test	0.002820182698792226	0.0024140150818466066	3.678499172337686e-5	6.437373551590951e-4	6.667279749862056e-4	2.3647494679313697e-4	0.08667813667668876
Bacteroidales unclassified	10.195033232716089	0.06989395431228737	5	Kruskal-Wallis rank sum test	0.006406719391821469	0.007793820121390472	3.678499172337686e-5	5.51774875850653e-4	0	0.011271972463806195	0.1433722139739228
Butyricicoccus	9.983349094166801	0.07570841927556413	5	Kruskal-Wallis rank sum test	3.985040770032493e-4	0.001402427809453743	1.4713996689350744e-4	0.0012261663907792287	2.0691557844399486e-4	6.568748522031582e-4	0.15141683855112825
