family	statistic	p.value	parameter	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj
Betaproteobacteria Unclassified	41.69425956738766	6.792008104963922e-8	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0019312120654772853	4.41480526822655e-6
Burkholderiales Unclassified	37.13602941176473	5.624916244658303e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.015357734044509838	1.0848125967237658e-5
Deferribacteraceae	36.76492634881898	6.675769825992405e-7	5	Kruskal-Wallis rank sum test	0	0	0	0.013610446937649439	0.05361412543682177	0.023726319661578076	1.0848125967237658e-5
Sutterellaceae	37.846895424836596	4.0500965450891043e-7	5	Kruskal-Wallis rank sum test	0	0	0.009012322972227331	0.00211513702409417	0	0	1.0848125967237658e-5
Bifidobacteriaceae	35.802349535829784	1.0403124850378515e-6	5	Kruskal-Wallis rank sum test	0.003954386610263013	0.0012874747103181902	0	0	0	0	1.352406230549207e-5
Deltaproteobacteria Unclassified	33.91291108404381	2.4779689736961787e-6	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0027588743792532648	2.6844663881708605e-5
Desulfovibrionaceae	29.63693346190934	1.7384811990213327e-5	5	Kruskal-Wallis rank sum test	0	0	0	8.276623137759794e-4	0	0.0068052234688247195	1.412515974204833e-4
Rhodospirillaceae	29.64203834931224	1.7344683900553812e-5	5	Kruskal-Wallis rank sum test	0	0	0	1.839249586168843e-4	0	0	1.412515974204833e-4
Bacteroidaceae	26.538430267735563	7.014543171017889e-5	5	Kruskal-Wallis rank sum test	0.14530071730733862	0.4222917049843664	0.6314143829317638	0.25446018024645944	7.356998344675372e-4	1.839249586168843e-4	5.066058956846254e-4
Porphyromonadaceae	25.7621241879438	9.923158124449626e-5	5	Kruskal-Wallis rank sum test	0.38403531359205445	0.07945558212249403	3.678499172337686e-4	0.1370240941695788	0.16681993746551407	0.28398013610446937	6.450052780892257e-4
Clostridiales Unclassified	25.048953295042313	1.3633372746314236e-4	5	Kruskal-Wallis rank sum test	0.002299061982711054	0.0013794371896266324	9.196247930844214e-4	0.014254184292808534	0.0046900864447305506	0.00974802280669487	8.056083895549321e-4
Rikenellaceae	22.767938318923242	3.7384709005969024e-4	5	Kruskal-Wallis rank sum test	0	0.003494574213720802	0	0.008000735699834468	0	0.025381644289130034	0.0020250050711566555
Eubacteriaceae	19.402439024390226	0.0016169963382581772	5	Kruskal-Wallis rank sum test	0	0	0	0	9.196247930844215e-5	0	0.008084981691290885
Enterococcaceae	18.053575336470093	0.0028800038644612017	5	Kruskal-Wallis rank sum test	0	0	0	0	2.758874379253265e-4	3.678499172337686e-4	0.013371446513569866
Erysipelotrichaceae	16.416707612064414	0.005749782801380444	5	Kruskal-Wallis rank sum test	0.005057936361964319	0.0068052234688247195	0.045429464778370426	0.0010115872723928637	0.0064373735515909514	0.002207099503402612	0.02491572547264859
Coriobacteriaceae	16.1989142009584	0.0062985257456518945	5	Kruskal-Wallis rank sum test	0.0013794371896266324	0.0016553246275519589	5.51774875850653e-4	7.356998344675372e-4	3.678499172337686e-4	0.0017472871068604009	0.02558776084171082
Anaeroplasmataceae	15.731240288821846	0.007654792222472776	5	Kruskal-Wallis rank sum test	0.005241861320581203	0.003034761817178591	0	0	0	0	0.02926832320357238
Lachnospiraceae	15.217230443974643	0.00947337452115238	5	Kruskal-Wallis rank sum test	0.10115872723928637	0.21372080191281956	0.05867206179878609	0.21068604009564096	0.48859665256575313	0.32867390104837224	0.03420940799305026
Ruminococcaceae	14.834938075819338	0.011091403381991286	5	Kruskal-Wallis rank sum test	0.027864631230457973	0.05205076328857826	0.007908773220526025	0.04432591502666912	0.02823248114769174	0.02473790693397094	0.03794427472786492
Firmicutes Unclassified	14.515759914418886	0.012644762628211313	5	Kruskal-Wallis rank sum test	5.51774875850653e-4	0.00211513702409417	0	0.002942799337870149	7.356998344675372e-4	0.0026669118999448228	0.04109547854168677
Enterobacteriaceae	13.74183642328529	0.017335197355514698	5	Kruskal-Wallis rank sum test	3.678499172337686e-4	6.437373551590951e-4	0.0020231745447857274	3.678499172337686e-4	0.002482986941327938	3.678499172337686e-4	0.04694949283785231
Oxalobacteraceae	13.781250000000016	0.017060307760332412	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.04694949283785231
Peptostreptococcaceae	13.759916795665646	0.017208569952468916	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.04694949283785231
Proteobacteria Unclassified	13.765243902439035	0.017171431505629147	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.04694949283785231
Burkholderiaceae	12.634146341463458	0.02705938375436404	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.0703543977613465
Bacteroidetes Unclassified	12.514395070948469	0.028380253848636794	5	Kruskal-Wallis rank sum test	0	0	0	0.0066212985102078355	0	0	0.07095063462159198
Unclassified	11.562895660132694	0.04129365534978284	5	Kruskal-Wallis rank sum test	0.0033106492551039173	4.598123965422107e-4	1.839249586168843e-4	0.004230274048188339	0.0013794371896266324	4.598123965422108e-4	0.09941065176799573
Verrucomicrobiaceae	10.78692237994565	0.05577224197453383	5	Kruskal-Wallis rank sum test	0.054441787750597756	0.12028692293544234	0.1594629391208387	0.025197719330513152	0.07559315799153946	0.10400956409784806	0.12947127601231068
Streptococcaceae	9.451388888888909	0.09235868532990608	5	Kruskal-Wallis rank sum test	0	9.196247930844215e-5	0	0	0	0	0.20701084642909984
Clostridiaceae 1	8.963414634146305	0.11053235326522376	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.23176138587869496
Veillonellaceae	8.963414634146305	0.11053235326522376	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.23176138587869496
Clostridia Unclassified	7.460999923902305	0.18854972605777767	5	Kruskal-Wallis rank sum test	0.0013794371896266324	0.0020231745447857274	0.0012874747103181902	0.0014713996689350744	0	0.004322236527496781	0.3829916310548609
Prevotellaceae	7.269230769230779	0.20137487589149716	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.39664748281658535
