genus	statistic	p.value	parameter	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj
Betaproteobacteria Unclassified	37.65862422997945	4.4184148567759325e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.03454723806020477	1.4359848284521781e-5
Burkholderiales Unclassified	37.65862422997945	4.4184148567759325e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.014805959168659188	1.4359848284521781e-5
Parasutterella	30.61593282044238	1.1153180899077695e-5	5	Kruskal-Wallis rank sum test	0	2.2990619827110538e-5	0.0170130586720618	0.07007540923303292	0	3.0654159769480714e-5	2.4165225281335006e-4
Enterobacteriaceae Unclassified	27.955725302169057	3.713135108494844e-5	5	Kruskal-Wallis rank sum test	0.8783467773719751	0.7565523266507265	0.15514070259334192	0.2868125804671694	0.002170314511679235	0.44742811599534055	6.033844551304122e-4
Mucispirillum	27.343372104714142	4.8897482114720985e-5	5	Kruskal-Wallis rank sum test	2.627499408812633e-5	4.5981239654221075e-5	1.3794371896266324e-4	0.009931947765311753	0.016332536325179326	3.6784991723376866e-4	6.356672674913728e-4
Proteus	26.781931797063795	6.289924751530722e-5	5	Kruskal-Wallis rank sum test	0	6.897185948133162e-5	0	1.103549751701306e-4	0.5392311936729814	0	6.814085147491616e-4
Enterococcus	25.72332229037025	1.009640580776463e-4	5	Kruskal-Wallis rank sum test	5.254998817625266e-5	6.897185948133162e-5	0.075708111090675	0.023137759794004047	0.05510391760161854	0.13668689841211454	9.37523396435287e-4
Parabacteroides	21.152295041728	7.581067059387218e-4	5	Kruskal-Wallis rank sum test	2.627499408812633e-5	2.0691557844399486e-4	2.758874379253265e-4	0.03586536693029244	0.1092146404267059	2.452332781558457e-4	0.006159616985752114
Lactobacillus	19.573272309227377	0.001502348542401708	5	Kruskal-Wallis rank sum test	0.09248797919020468	0.23025105756851205	0.025243700570167373	0.12620930660290602	0.16829133713444916	0.33658267426889826	0.010850295028456781
Bacteroides	17.734035502241603	0.003298882981213816	5	Kruskal-Wallis rank sum test	0.007908773220526025	8.276623137759794e-4	0.7089617436086078	0.39889645024829873	0.001066764759977929	6.130831953896144e-4	0.0214427393778898
