genus	statistic	p.value	parameter	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj
Betaproteobacteria Unclassified	41.69425956738766	6.792008104963922e-8	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.002053828704555208	2.286642728671187e-6
Desulfovibrio	41.69425956738766	6.792008104963922e-8	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.003893078290724051	2.286642728671187e-6
Desulfovibrionaceae Unclassified	41.702933222384	6.764627802408766e-8	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0028814910183311876	2.286642728671187e-6
Parasutterella	37.846895424836596	4.0500965450891043e-7	5	Kruskal-Wallis rank sum test	0	0	0.018996820725715336	0.0024140150818466066	0	0	1.0226493776349988e-5
Burkholderiales Unclassified	37.13602941176473	5.624916244658303e-7	5	Kruskal-Wallis rank sum test	0	2.2990619827110538e-5	0	0	0	0.017687450186990375	1.123754587375388e-5
Mucispirillum	36.76492634881898	6.675769825992405e-7	5	Kruskal-Wallis rank sum test	0	0	2.627499408812633e-5	0.0383943351112746	0.059407761633253633	0.042639936239347684	1.123754587375388e-5
Bifidobacterium	35.802349535829784	1.0403124850378515e-6	5	Kruskal-Wallis rank sum test	0.0035635460732021335	0.001402427809453743	0	0	0	0	1.5010222998403286e-5
Anaerostipes	33.91291108404381	2.4779689736961787e-6	5	Kruskal-Wallis rank sum test	0	0	0	0	0.002237753663172092	0	2.5027486634331406e-5
Deltaproteobacteria Unclassified	33.91291108404381	2.4779689736961787e-6	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.004628778125191588	2.5027486634331406e-5
Parabacteroides	34.32391659364296	2.052339335248141e-6	5	Kruskal-Wallis rank sum test	9.196247930844215e-5	4.5981239654221075e-5	1.3137497044063165e-4	0.0737309177855435	0.16228312181963092	0.16234443013916988	2.5027486634331406e-5
Rhodospirillaceae Unclassified	29.64203834931224	1.7344683900553812e-5	5	Kruskal-Wallis rank sum test	0	0	0	0.0014943902887621851	0	0	1.5925573399599408e-4
Proteus	29.251722712238138	2.069438339755699e-5	5	Kruskal-Wallis rank sum test	0	0	0	2.758874379253265e-4	0.016430629636441665	3.0654159769480714e-5	1.74177726929438e-4
Turicibacter	28.356802599059233	3.099514915544192e-5	5	Kruskal-Wallis rank sum test	0.0255195880080927	0.013449512598859665	0.03935994114401324	2.0691557844399483e-4	0.0019925203850162465	3.0654159769480714e-5	2.4080846651535647e-4
