family	statistic	p.value	parameter	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj
Burkholderiales Unclassified	16.438016528925612	0.005698667972978212	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.025749494206363802	0.0664844596847458
Clostridiaceae 1	16.999999999999982	0.004499796977970585	5	Kruskal-Wallis rank sum test	0	0	0.0018392495861688431	0	0	0	0.0664844596847458
Rhodospirillaceae	16.94117647058824	0.004612719118907275	5	Kruskal-Wallis rank sum test	0	0	0	0.009564097848077983	0	0	0.0664844596847458
Betaproteobacteria Unclassified	14.35610948191592	0.013498790259146572	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0375206915578444	0.07874294317835501
Porphyromonadaceae	14.82024179620034	0.01115867508442072	5	Kruskal-Wallis rank sum test	0.20562810373367665	3.678499172337686e-4	9.196247930844214e-4	0.10502115137024096	0.47507816810741216	0.42836122861872356	0.07874294317835501
Sutterellaceae	14.486381322957207	0.012797890677971047	5	Kruskal-Wallis rank sum test	0	0	0.014346146772116977	0.034393967261357364	0	0	0.07874294317835501
Bifidobacteriaceae	13.159472693032013	0.02192929803326663	5	Kruskal-Wallis rank sum test	0.012690822144565017	0.020507632885782598	0	0	0	0	0.0959406788955415
Deferribacteraceae	13.411572942135283	0.019812507077559004	5	Kruskal-Wallis rank sum test	0	0	0	0.009564097848077983	0	0	0.0959406788955415
Clostridiales Unclassified	11.686176836861774	0.039350319531708526	5	Kruskal-Wallis rank sum test	0	0	0	0.00469008644473055	3.678499172337686e-4	5.51774875850653e-4	0.13772611836097984
Erysipelotrichaceae	11.826532369146008	0.037243569711888067	5	Kruskal-Wallis rank sum test	0.03329041750965606	0.019771933051315065	0.042118815523266503	0.0015633621482435166	0.009012322972227331	5.51774875850653e-4	0.13772611836097984
Enterococcaceae	10.76631426202321	0.05621527781430247	5	Kruskal-Wallis rank sum test	0	0	0.0020231745447857274	0	0.017840720985837777	0.01710502115137024	0.15746184024098997
Unclassified	10.663035019455254	0.05848582637522484	5	Kruskal-Wallis rank sum test	0	0	0	0.001195512231009748	0	0	0.15746184024098997
Verrucomicrobiaceae	10.805847953216372	0.05536827029517104	5	Kruskal-Wallis rank sum test	0.1956961559683649	0.2595181166084238	0.04156704064741586	0.0351296670958249	0.10023910244620195	0.01563362148243517	0.15746184024098997
Lactobacillales Unclassified	9.350000000000017	0.09589216518362029	5	Kruskal-Wallis rank sum test	0	0	0	0	1.839249586168843e-4	0	0.23973041295905073
Deltaproteobacteria Unclassified	8.753545232273824	0.11930749567144332	5	Kruskal-Wallis rank sum test	0	0	0	0	0	7.356998344675372e-4	0.27838415656670107
Desulfovibrionaceae	8	0.15623562757772233	5	Kruskal-Wallis rank sum test	0	0	0	9.196247930844215e-5	0	0	0.30379149806779343
Oxalobacteraceae	8	0.15623562757772233	5	Kruskal-Wallis rank sum test	0	0	0	1.839249586168843e-4	0	0	0.30379149806779343
Proteobacteria Unclassified	8	0.15623562757772233	5	Kruskal-Wallis rank sum test	0	0	0	7.356998344675372e-4	0	0	0.30379149806779343
Lachnospiraceae	7.414035087719299	0.19162348417163916	5	Kruskal-Wallis rank sum test	0.017840720985837777	0.04883207651278279	7.356998344675372e-4	0.2883943351112746	0.03034761817178591	0.06161486113665624	0.35299062873723003
Enterobacteriaceae	7.217543859649126	0.20495751559496098	5	Kruskal-Wallis rank sum test	0.08111090675004598	0.1276439212801177	0.29004965973882657	0.015081846606584513	0.26430016553246277	0.09600882839801361	0.3586756522911817
Rikenellaceae	6.875195503421319	0.2300888852372042	5	Kruskal-Wallis rank sum test	0	0	1.839249586168843e-4	7.356998344675372e-4	0	0.0036784991723376862	0.38348147539534033
Firmicutes Unclassified	6.70222711698483	0.2437444968266601	5	Kruskal-Wallis rank sum test	0	0	0	6.437373551590951e-4	0	0	0.3877753358605956
Bacteroidaceae	6.17335766423358	0.2897141337499874	5	Kruskal-Wallis rank sum test	0.32757035129667095	0.267886702225492	0.47158359389369137	0.4082214456501747	1.839249586168843e-4	5.51774875850653e-4	0.4147101830258976
Coriobacteriaceae	6.331606606606597	0.2752759575800095	5	Kruskal-Wallis rank sum test	3.678499172337686e-4	2.758874379253265e-4	0	9.196247930844215e-5	0	0	0.4147101830258976
Lactobacillaceae	6.104093567251461	0.2962215593042126	5	Kruskal-Wallis rank sum test	0.0739378333639875	0.09003126724296487	0.01692109619275336	0.04377414015081847	0.08718043038440317	0.13628839433511128	0.4147101830258976
Ruminococcaceae	5.2920110192837475	0.38129165341004007	5	Kruskal-Wallis rank sum test	0.005333823799889645	0.010483722641162405	9.196247930844214e-4	0.038716203788854146	0.0016553246275519589	0.0033106492551039173	0.5132772257442847
Clostridia Unclassified	4.8911764705882455	0.42930514258335406	5	Kruskal-Wallis rank sum test	0	0	0	8.276623137759794e-4	0	0	0.5181268962212894
Leuconostocaceae	5.000000000000005	0.4158801869955074	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5181268962212894
Pseudomonadaceae	5.000000000000005	0.4158801869955074	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5181268962212894
Peptostreptococcaceae	4.607843137254913	0.46558531465098624	5	Kruskal-Wallis rank sum test	0	0	0	5.51774875850653e-4	0	0	0.5431828670928173
Bacilli Unclassified	2.6000000000000103	0.7613652678450125	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.783758363958101
Caulobacteraceae	2.6000000000000103	0.7613652678450125	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.783758363958101
Corynebacteriaceae	2.6000000000000103	0.7613652678450125	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.783758363958101
Streptococcaceae	3.0338461538461647	0.6947675898368584	5	Kruskal-Wallis rank sum test	0	9.196247930844215e-5	0	0	0	0	0.783758363958101
Burkholderiaceae	2.000000000000011	0.8491450360846081	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.8491450360846081
Acetobacteraceae	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Acidaminococcaceae	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Actinomycetales Unclassified	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Aerococcaceae	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Alphaproteobacteria Unclassified	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Alteromonadaceae	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Anaeroplasmataceae	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Bacillaceae 1	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Bacillales Unclassified	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Bacteroidales Unclassified	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Bacteroidetes Unclassified	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Bradyrhizobiaceae	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Brevibacteriaceae	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Burkholderiales incertae sedis	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Candidatus Saccharibacteria Unclassified	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Catabacteriaceae	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Chitinophagaceae	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Clostridiales Incertae Sedis XI	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Clostridiales Incertae Sedis XIII	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Coxiellaceae	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Cytophagaceae	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Cytophagales Unclassified	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Dermabacteraceae	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Dermacoccaceae	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Desulfovibrionales Unclassified	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Dietziaceae	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Eubacteriaceae	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Flavobacteriaceae	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Fusobacteriaceae	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Gammaproteobacteria Unclassified	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Geodermatophilaceae	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Gp2 Unclassified	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Gp6 Unclassified	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Labilitrichaceae	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Listeriaceae	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Micrococcaceae	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Micromonosporaceae	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Moraxellaceae	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Nocardiaceae	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Nocardiopsaceae	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Paenibacillaceae 1	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Phyllobacteriaceae	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Planococcaceae	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
