family	statistic	p.value	parameter	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj
Deltaproteobacteria Unclassified	37.5274700429573	4.6945180063428355e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0018392495861688431	1.830862022473706e-5
Burkholderiales Unclassified	34.403902439024414	1.9783870458449157e-6	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.01820857090307155	2.5719031595983905e-5
Sutterellaceae	34.703234189678085	1.7244039303359587e-6	5	Kruskal-Wallis rank sum test	0	0	0.01967997057200662	0.015265771565201397	0	0	2.5719031595983905e-5
Bifidobacteriaceae	31.171835400827028	8.663149368781248e-6	5	Kruskal-Wallis rank sum test	0.0033106492551039173	0.002299061982711054	0	0	0	0	6.133988667835799e-5
Deferribacteraceae	30.98370334813394	9.436905642824306e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.0027588743792532648	0.002391024462019496	9.196247930844216e-4	6.133988667835799e-5
Rhodospirillaceae	31.803204113924036	6.498858425062637e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.005425786279198087	0	0	6.133988667835799e-5
Porphyromonadaceae	28.17120813074014	3.3698341452667046e-5	5	Kruskal-Wallis rank sum test	0.18318925878241676	0.006805223468824719	3.678499172337686e-4	0.15716387713812763	0.1407025933419165	0.5335663049475814	1.8774790237914495e-4
Betaproteobacteria Unclassified	25.400634158882546	1.1658161292994515e-4	5	Kruskal-Wallis rank sum test	0	0	0	0	0	1.839249586168843e-4	5.683353630334826e-4
Rikenellaceae	24.80132953884649	1.5219448084927332e-4	5	Kruskal-Wallis rank sum test	0	0	0	0.0038624241309545703	0	0.009931947765311753	6.595094170135176e-4
Enterococcaceae	22.762471709759268	3.7474661420757946e-4	5	Kruskal-Wallis rank sum test	0	0	5.51774875850653e-4	0	0.0033106492551039177	0.002207099503402612	0.0014615117954095598
Unclassified	18.108379946306243	0.002813596910490925	5	Kruskal-Wallis rank sum test	9.196247930844215e-5	0	0	0.0016553246275519589	3.678499172337686e-4	1.839249586168843e-4	0.009975479955376915
Oxalobacteraceae	16.77327491785325	0.0049504774799517485	5	Kruskal-Wallis rank sum test	0	0	0	1.839249586168843e-4	0	0	0.016089051809843182
Lachnospiraceae	16.050491301895796	0.00670138774793912	5	Kruskal-Wallis rank sum test	0.04965973882655876	0.033382379988964504	0.03071546808901968	0.13205812028692293	0.18355710869965053	0.0750413831156888	0.02010416324381736
Bacteroidaceae	15.741498806867005	0.007622199448336342	5	Kruskal-Wallis rank sum test	0.39249586168843115	0.6792348721721537	0.5521427257678867	0.41281956961559685	3.678499172337686e-4	5.51774875850653e-4	0.021233269891794092
Clostridiales Unclassified	13.996371575375788	0.015632480765709368	5	Kruskal-Wallis rank sum test	5.51774875850653e-4	4.598123965422108e-4	5.51774875850653e-4	0.011311384954938384	0.0027588743792532648	0.0031267242964870333	0.03096424104110667
Coriobacteriaceae	14.544950516273303	0.012494371582086099	5	Kruskal-Wallis rank sum test	5.51774875850653e-4	1.839249586168843e-4	0	8.276623137759794e-4	0	0	0.03096424104110667
Erysipelotrichaceae	14.181699841495359	0.014495511568045622	5	Kruskal-Wallis rank sum test	0.012231009748022808	0.007816810741217583	0.08368585617068236	0.0019312120654772853	0.014713996689350743	0.0014713996689350744	0.03096424104110667
Eubacteriaceae	13.957894736842242	0.015879097969798292	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.03096424104110667
Prevotellaceae	13.967567567567713	0.01581674894505342	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.03096424104110667
Verrucomicrobiaceae	14.017645896297568	0.015497714710111356	5	Kruskal-Wallis rank sum test	0.2729446385874563	0.17684384771013426	0.042486665440500275	0.0298878057752437	0.11348169946661762	0.0879161302188707	0.03096424104110667
Desulfovibrionaceae	13.708860759493676	0.01756846188372846	5	Kruskal-Wallis rank sum test	0	0	0	0.004965973882655877	0	0	0.032627143498352856
Bacteroidetes Unclassified	13.337438423645317	0.020413684980926775	5	Kruskal-Wallis rank sum test	0	0	0	0.002299061982711054	0	0	0.03618789610255201
Firmicutes Unclassified	12.412475508987152	0.029552793924603797	5	Kruskal-Wallis rank sum test	0	9.196247930844215e-5	0	9.196247930844216e-4	0	1.839249586168843e-4	0.050111259263458614
Lactobacillaceae	10.64516398420894	0.05888734528444805	5	Kruskal-Wallis rank sum test	0.030715468089019683	0.03356630494758139	0.010299797682545521	0.060051498988412735	0.17196983630678683	0.09122677947397462	0.09569193608722808
