family	statistic	p.value	method	alternative	-1	0	p.value.adj
Bacteroidaceae	0	0.0579072654172973	Wilcoxon signed rank test with continuity correction	two.sided	1.839249586168843e-4	0.001066764759977929	0.2604166666666667
Clostridia Unclassified	15	0.0579072654172973	Wilcoxon signed rank test with continuity correction	two.sided	0.0021703145116792346	0	0.2604166666666667
Coriobacteriaceae	15	0.0625	Wilcoxon signed rank test	two.sided	9.196247930844216e-4	0	0.2604166666666667
Enterobacteriaceae	0	0.0625	Wilcoxon signed rank test	two.sided	8.092698179142909e-4	0.5414015081846606	0.2604166666666667
Lachnospiraceae	15	0.0625	Wilcoxon signed rank test	two.sided	0.4451719698363068	0.06904542946477837	0.2604166666666667
Verrucomicrobiaceae	15	0.0625	Wilcoxon signed rank test	two.sided	0.020231745447857274	0.003494574213720802	0.2604166666666667
Enterococcaceae	0	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	3.678499172337686e-5	0.05510391760161854	0.3583865945081814
Porphyromonadaceae	14	0.125	Wilcoxon signed rank test	two.sided	0.3277174912635645	0.1096928453191098	0.390625
Clostridiales Unclassified	13	0.1875	Wilcoxon signed rank test	two.sided	0.029060143461467722	0.0030899393047636565	0.46875
Lactobacillaceae	2	0.1875	Wilcoxon signed rank test	two.sided	0.0759977929004966	0.16829133713444916	0.46875
Deferribacteraceae	12	0.3125	Wilcoxon signed rank test	two.sided	0.037005701673717126	0.016332536325179326	0.6510416666666667
Ruminococcaceae	12	0.3125	Wilcoxon signed rank test	two.sided	0.042486665440500275	0.022402059959536508	0.6510416666666667
Prevotellaceae	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	7.356998344675372e-5	0	0.6649588195214621
Firmicutes Unclassified	11	0.4375	Wilcoxon signed rank test	two.sided	0.008534118079823433	0.002538164428913003	0.7291666666666667
Unclassified	11	0.4375	Wilcoxon signed rank test	two.sided	0.008019128195696156	0.0030899393047636565	0.7291666666666667
Alteromonadaceae	1	1	Wilcoxon signed rank test with continuity correction	two.sided	3.678499172337686e-5	0	1
Anaeroplasmataceae	0	1	Wilcoxon signed rank test with continuity correction	two.sided	0	0.0022438844951259886	1
Bacillaceae 1	0	1	Wilcoxon signed rank test with continuity correction	two.sided	0	3.678499172337686e-5	1
Bacilli Unclassified	0	1	Wilcoxon signed rank test with continuity correction	two.sided	0	3.678499172337686e-5	1
Bacteroidales Unclassified	0	1	Wilcoxon signed rank test with continuity correction	two.sided	0	2.207099503402612e-4	1
Chitinophagaceae	0	1	Wilcoxon signed rank test with continuity correction	two.sided	0	3.678499172337686e-5	1
Erysipelotrichaceae	6	0.8551321405847059	Wilcoxon signed rank test with continuity correction	two.sided	0.0014713996689350744	0.0016921096192753357	1
Flavobacteriaceae	1	1	Wilcoxon signed rank test with continuity correction	two.sided	3.678499172337686e-5	0	1
Pseudomonadaceae	0	1	Wilcoxon signed rank test with continuity correction	two.sided	0	3.678499172337686e-5	1
Rikenellaceae	1	1	Wilcoxon signed rank test with continuity correction	two.sided	3.678499172337686e-5	1.4713996689350744e-4	1
Acetobacteraceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Acidaminococcaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Actinomycetales Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Aerococcaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Alphaproteobacteria Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Bacillales Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Bacteroidetes Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Betaproteobacteria Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Bifidobacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Bradyrhizobiaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Brevibacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Burkholderiaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Burkholderiales incertae sedis	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Burkholderiales Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Candidatus Saccharibacteria Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Catabacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Caulobacteraceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Clostridiaceae 1	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Clostridiales Incertae Sedis XI	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Clostridiales Incertae Sedis XIII	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Corynebacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Coxiellaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Cytophagaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Cytophagales Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Deltaproteobacteria Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Dermabacteraceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Dermacoccaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Desulfovibrionaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Desulfovibrionales Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Dietziaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Eubacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Fusobacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Gammaproteobacteria Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Geodermatophilaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Gp2 Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Gp6 Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Labilitrichaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Lactobacillales Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Leuconostocaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Listeriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Micrococcaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Micromonosporaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Moraxellaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Nocardiaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Nocardiopsaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Oxalobacteraceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Paenibacillaceae 1	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Peptostreptococcaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Phyllobacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Planococcaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Proteobacteria Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Rhizobiaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Rhodobacteraceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Rhodospirillaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Sphingobacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Sphingomonadaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Sphingomonadales Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Staphylococcaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Streptococcaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Sutterellaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Veillonellaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Xanthomonadaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
