genus	statistic	p.value	parameter	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj
Betaproteobacteria unclassified	19.723756906077334	0.001408001852771203	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.005563729998160751	0.013108083491066697
Bifidobacterium	19.10212765957447	0.0018397310162900629	5	Kruskal-Wallis rank sum test	0.004552142725767886	0.0010115872723928637	0	0	0	0	0.013108083491066697
Bilophila	19.95000000000002	0.0012770191379958915	5	Kruskal-Wallis rank sum test	0	0	0	0.0033106492551039177	0	0	0.013108083491066697
Burkholderiales unclassified	19.751037344398327	0.0013915332780705294	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.006713260989516277	0.013108083491066697
Deltaproteobacteria unclassified	19.723756906077334	0.001408001852771203	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0018392495861688431	0.013108083491066697
Desulfovibrio	19.723756906077334	0.001408001852771203	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0054257862791980875	0.013108083491066697
Desulfovibrionaceae unclassified	19.723756906077334	0.001408001852771203	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0093801728894611	0.013108083491066697
Mucispirillum	19.109516214779376	0.0018339056857352937	5	Kruskal-Wallis rank sum test	0	0	0	0.10290601434614677	0.04138311568879897	0.0333823799889645	0.013108083491066697
Parabacteroides	18.01333333333333	0.0029297405557731078	5	Kruskal-Wallis rank sum test	0	4.5981239654221075e-5	9.196247930844215e-5	0.05002758874379253	0.28637116056648887	0.1451167923487217	0.016699521167906715
Parasutterella	18.241935483870975	0.002657986937555237	5	Kruskal-Wallis rank sum test	4.5981239654221075e-5	0	0.01922015817546441	0.0013794371896266324	0	0	0.016699521167906715
Proteus	17.328261871830342	0.003917532520436553	5	Kruskal-Wallis rank sum test	0	0	0	9.196247930844215e-5	0.0018392495861688431	0	0.020299941242262136
Bacteroides	16.830172225855684	0.004833400115596916	5	Kruskal-Wallis rank sum test	0.14341548648151553	0.3591594629391208	0.4106584513518484	0.13693213169027038	3.065415976948072e-4	4.5981239654221075e-5	0.021627330914907743
