genus	statistic	p.value	method	alternative	-1	0	p.value.adj
Acetatifactor	10	0.125	Wilcoxon signed rank test	two.sided	0.005425786279198087	3.678499172337686e-4	0.35526315789473684
Alistipes	10	0.125	Wilcoxon signed rank test	two.sided	0.0061614861136656245	9.196247930844215e-5	0.35526315789473684
Bacteroidetes Unclassified	10	0.125	Wilcoxon signed rank test	two.sided	0.020691557844399484	1.839249586168843e-4	0.35526315789473684
Butyricicoccus	10	0.125	Wilcoxon signed rank test	two.sided	0.001149530991355527	0	0.35526315789473684
Butyricimonas	10	0.125	Wilcoxon signed rank test	two.sided	0.015587640242780944	0	0.35526315789473684
Clostridia Unclassified	10	0.09751253817810959	Wilcoxon signed rank test with continuity correction	two.sided	6.437373551590951e-4	0	0.35526315789473684
Clostridiales Unclassified	10	0.125	Wilcoxon signed rank test	two.sided	0.041291153209490526	4.5981239654221075e-5	0.35526315789473684
Clostridium XlVa	10	0.125	Wilcoxon signed rank test	two.sided	0.004782048924038993	6.897185948133161e-4	0.35526315789473684
Clostridium XlVb	10	0.125	Wilcoxon signed rank test	two.sided	0.0015633621482435166	0	0.35526315789473684
Enterobacteriaceae Unclassified	0	0.125	Wilcoxon signed rank test	two.sided	4.138311568879897e-4	0.3273404450983999	0.35526315789473684
Enterococcus	0	0.125	Wilcoxon signed rank test	two.sided	1.3794371896266324e-4	0.02892219974250506	0.35526315789473684
Firmicutes Unclassified	10	0.125	Wilcoxon signed rank test	two.sided	0.010207835203237078	2.2990619827110536e-4	0.35526315789473684
Lachnospiraceae Unclassified	10	0.125	Wilcoxon signed rank test	two.sided	0.24866654405002758	0.012001103549751702	0.35526315789473684
Lactobacillus	0	0.125	Wilcoxon signed rank test	two.sided	0.06625896634173258	0.1415762368953467	0.35526315789473684
Oscillibacter	10	0.125	Wilcoxon signed rank test	two.sided	0.0054257862791980875	0	0.35526315789473684
Parasutterella	0	0.125	Wilcoxon signed rank test	two.sided	7.356998344675372e-4	0.06874195328306051	0.35526315789473684
Pseudoflavonifractor	10	0.125	Wilcoxon signed rank test	two.sided	0.004552142725767887	0	0.35526315789473684
Ruminococcaceae Unclassified	10	0.125	Wilcoxon signed rank test	two.sided	0.027358837594261543	0.0037244804119919072	0.35526315789473684
Unclassified	10	0.125	Wilcoxon signed rank test	two.sided	0.014759977929004965	0	0.35526315789473684
Asaccharobacter	6	0.17356816655592155	Wilcoxon signed rank test with continuity correction	two.sided	1.839249586168843e-4	0	0.4082607173731957
