family	statistic	p.value	method	alternative	-1	0	p.value.adj
Burkholderiales unclassified	91	2.4414062500000016e-4	Wilcoxon signed rank test	two.sided	0.00916997293675609	0.014805959168659188	0.0050048828125000035
Lactobacillaceae	91	2.4414062500000016e-4	Wilcoxon signed rank test	two.sided	0.04314354029270344	0.33658267426889826	0.0050048828125000035
Betaproteobacteria unclassified	91	0.0016562478038332142	Wilcoxon signed rank test with continuity correction	two.sided	0.0062534485929740665	0.03454723806020477	0.01473947987392882
Enterobacteriaceae	78	0.002516496563841506	Wilcoxon signed rank test with continuity correction	two.sided	0.17168081137181743	0.44742811599534055	0.01473947987392882
Lachnospiraceae	78	0.002516496563841506	Wilcoxon signed rank test with continuity correction	two.sided	0.13568406947108438	0.023818282140886517	0.01473947987392882
Porphyromonadaceae	91	0.0016399765754731299	Wilcoxon signed rank test with continuity correction	two.sided	0.3894479623742085	5.211207160811722e-4	0.01473947987392882
Ruminococcaceae	78	0.002516496563841506	Wilcoxon signed rank test with continuity correction	two.sided	0.020809795317796052	0.0025749494206363803	0.01473947987392882
Enterococcaceae	66	0.0038572928299425344	Wilcoxon signed rank test with continuity correction	two.sided	0.005097348853096508	0.13668689841211454	0.01976862575345549
Bacteroidaceae	55	0.005857099085284128	Wilcoxon signed rank test with continuity correction	two.sided	0.025749494206363802	6.130831953896144e-4	0.026682340277405472
Clostridiales unclassified	45	0.009090698015925056	Wilcoxon signed rank test with continuity correction	two.sided	0.007698573267821015	9.196247930844214e-4	0.03727186186529272
Verrucomicrobiaceae	36	0.014266186701446927	Wilcoxon signed rank test with continuity correction	two.sided	0.04353766520402533	4.2915823677273007e-4	0.053173968614483993
Deferribacteraceae	28	0.022254124823099145	Wilcoxon signed rank test with continuity correction	two.sided	0.012401797209595628	3.6784991723376866e-4	0.07603492647892207
Erysipelotrichaceae	21	0.034006402864386984	Wilcoxon signed rank test with continuity correction	two.sided	7.094248403794109e-4	1.532707988474036e-4	0.09848660899650506
Prevotellaceae	21	0.0355223366234146	Wilcoxon signed rank test with continuity correction	two.sided	0.06781575974145405	1.2261663907792289e-4	0.09848660899650506
Rikenellaceae	21	0.036031686218233556	Wilcoxon signed rank test with continuity correction	two.sided	0.024751044431015005	0	0.09848660899650506
Bacteroidales unclassified	15	0.059058229090536735	Wilcoxon signed rank test with continuity correction	two.sided	0.011271972463806195	3.0654159769480714e-5	0.12106936963560029
Coriobacteriaceae	15	0.05447403510619558	Wilcoxon signed rank test with continuity correction	two.sided	8.670748049081689e-4	0	0.12106936963560029
Desulfovibrionaceae	15	0.059058229090536735	Wilcoxon signed rank test with continuity correction	two.sided	0.005596573740770908	0	0.12106936963560029
Firmicutes unclassified	15	0.059058229090536735	Wilcoxon signed rank test with continuity correction	two.sided	0.0018129745920807169	0	0.12106936963560029
Unclassified	15	0.0579072654172973	Wilcoxon signed rank test with continuity correction	two.sided	0.002154549515226359	0	0.12106936963560029
Bacteroidetes unclassified	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	0.011718647363304342	0	0.1870126411342692
Clostridia unclassified	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	9.984497753488006e-4	0	0.1870126411342692
Deltaproteobacteria unclassified	6	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	0.0012349247221419375	0	0.32345293550340143
Alteromonadaceae	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	9.196247930844215e-5	0.5635121537196519
Bacillaceae 1	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	2.627499408812633e-5	3.0654159769480714e-5	0.5635121537196519
Fusobacteriaceae	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	2.627499408812633e-5	3.0654159769480714e-5	0.5635121537196519
Pseudomonadaceae	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	7.882498226437898e-5	0	0.5635121537196519
Acidaminococcaceae	1	1	Wilcoxon signed rank test with continuity correction	two.sided	0	3.0654159769480714e-5	1
Anaeroplasmataceae	1	1	Wilcoxon signed rank test with continuity correction	two.sided	7.8824982264379e-5	0	1
Caulobacteraceae	1	1	Wilcoxon signed rank test with continuity correction	two.sided	0	3.0654159769480714e-5	1
Chitinophagaceae	1	1	Wilcoxon signed rank test with continuity correction	two.sided	0	3.0654159769480714e-5	1
Clostridiaceae 1	1	1	Wilcoxon signed rank test with continuity correction	two.sided	0	3.0654159769480714e-5	1
Clostridiales Incertae Sedis XIII	1	1	Wilcoxon signed rank test with continuity correction	two.sided	2.627499408812633e-5	0	1
Corynebacteriaceae	1	1	Wilcoxon signed rank test with continuity correction	two.sided	0	3.0654159769480714e-5	1
Cytophagaceae	1	1	Wilcoxon signed rank test with continuity correction	two.sided	2.627499408812633e-5	0	1
Desulfovibrionales unclassified	1	1	Wilcoxon signed rank test with continuity correction	two.sided	2.627499408812633e-5	0	1
Lactobacillales unclassified	1	1	Wilcoxon signed rank test with continuity correction	two.sided	0	6.130831953896143e-5	1
Micromonosporaceae	1	1	Wilcoxon signed rank test with continuity correction	two.sided	2.627499408812633e-5	0	1
Peptostreptococcaceae	1	1	Wilcoxon signed rank test with continuity correction	two.sided	2.627499408812633e-5	0	1
Proteobacteria unclassified	1	1	Wilcoxon signed rank test with continuity correction	two.sided	5.254998817625266e-5	0	1
Sutterellaceae	1	1	Wilcoxon signed rank test with continuity correction	two.sided	0	3.0654159769480714e-5	1
Acetobacteraceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Actinomycetales unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Aerococcaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Alphaproteobacteria unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Bacillales unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Bacilli unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Bifidobacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Bradyrhizobiaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Brevibacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Burkholderiaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Burkholderiales incertae sedis	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Candidatus Saccharibacteria unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Catabacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Clostridiales Incertae Sedis XI	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Coxiellaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Cytophagales unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Dermabacteraceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Dermacoccaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Dietziaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Eubacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Flavobacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Gammaproteobacteria unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Geodermatophilaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
