family	statistic	p.value	method	alternative	colonized	not_detectable	p.value.adj
Bacteroidaceae	182.5	0.039041306526714746	Wilcoxon rank sum test with continuity correction	two.sided	0.2889461099871253	0.054687021028753606	0.5199262868232967
Enterococcaceae	178.5	0.052355869678810424	Wilcoxon rank sum test with continuity correction	two.sided	0.057730798775276156	0.03667463674820673	0.5199262868232967
Erysipelotrichaceae	73.5	0.04195566261571	Wilcoxon rank sum test with continuity correction	two.sided	0.002174642157764338	0.00884065967751824	0.5199262868232967
Lactobacillales Unclassified	102	0.06189598652658294	Wilcoxon rank sum test with continuity correction	two.sided	0	8.583164735454601e-5	0.5199262868232967
Ruminococcaceae	73	0.03968768062549774	Wilcoxon rank sum test with continuity correction	two.sided	0.00175269666446678	0.006645821838023419	0.5199262868232967
Alteromonadaceae	150	0.10038390598940308	Wilcoxon rank sum test with continuity correction	two.sided	4.32764608510316e-5	0	0.5307186634830123
Bacteroidetes Unclassified	110.5	0.13763754938231637	Wilcoxon rank sum test with continuity correction	two.sided	0	4.904665563116915e-5	0.5307186634830123
Enterobacteriaceae	87	0.13087808882393434	Wilcoxon rank sum test with continuity correction	two.sided	0.4399701392420128	0.6548586843234627	0.5307186634830123
Lactobacillaceae	88	0.14245981494255702	Wilcoxon rank sum test	two.sided	0.17739021302837854	0.186953589602109	0.5307186634830123
Peptostreptococcaceae	110.5	0.13763754938231637	Wilcoxon rank sum test with continuity correction	two.sided	0	2.0844828643246888e-4	0.5307186634830123
Proteobacteria Unclassified	110.5	0.13763754938231637	Wilcoxon rank sum test with continuity correction	two.sided	0	2.57494942063638e-4	0.5307186634830123
Unclassified	103	0.15163390385228923	Wilcoxon rank sum test with continuity correction	two.sided	0.005128260610847244	1.5940163080129975e-4	0.5307186634830123
Caulobacteraceae	142.5	0.1919987161400521	Wilcoxon rank sum test with continuity correction	two.sided	3.24573456382737e-5	0	0.5375964051921458
Deferribacteraceae	159	0.18805592525326922	Wilcoxon rank sum test with continuity correction	two.sided	0.005853141330102024	2.8201826987922263e-4	0.5375964051921458
