family	statistic	p.value	method	alternative	-1	0	p.value.adj
Lachnospiraceae	66	9.765624999999999e-4	Wilcoxon signed rank test	two.sided	0.24176935810189443	0.012580467169394887	0.006835937499999999
Lactobacillaceae	66	9.765624999999999e-4	Wilcoxon signed rank test	two.sided	0.06507878119060756	0.12620930660290602	0.006835937499999999
Porphyromonadaceae	66	9.765624999999999e-4	Wilcoxon signed rank test	two.sided	0.12641775488933849	0.03615964686407946	0.006835937499999999
Ruminococcaceae	66	9.765624999999999e-4	Wilcoxon signed rank test	two.sided	0.03653975844522102	0.006584513518484458	0.006835937499999999
Sutterellaceae	66	9.765624999999999e-4	Wilcoxon signed rank test	two.sided	7.050456746980565e-4	0.07007540923303292	0.006835937499999999
Deferribacteraceae	66	0.0038398001324249967	Wilcoxon signed rank test with continuity correction	two.sided	0.004046349089571455	0.009931947765311753	0.019199000662124984
Erysipelotrichaceae	66	0.003822353727134719	Wilcoxon signed rank test with continuity correction	two.sided	0.002513641101097419	0.02700018392495862	0.019199000662124984
Bacteroidaceae	55	0.0059215370241487075	Wilcoxon signed rank test with continuity correction	two.sided	0.3955306235056097	0.39889645024829873	0.025906724480650595
Firmicutes unclassified	45	0.009090698015925056	Wilcoxon signed rank test with continuity correction	two.sided	0.011035497517013059	2.2070995034026116e-4	0.03535271450637522
Bacteroidetes unclassified	36	0.014266186701446927	Wilcoxon signed rank test with continuity correction	two.sided	0.021703145116792347	1.4713996689350744e-4	0.04539241223187658
Enterobacteriaceae	36	0.014266186701446927	Wilcoxon signed rank test with continuity correction	two.sided	3.371957574642879e-4	0.287070075409233	0.04539241223187658
Clostridiales unclassified	28	0.022494271222449663	Wilcoxon signed rank test with continuity correction	two.sided	0.045061614861136655	3.678499172337686e-5	0.05248663285238255
Peptostreptococcaceae	28	0.022494271222449663	Wilcoxon signed rank test with continuity correction	two.sided	0.007816810741217584	6.253448592974067e-4	0.05248663285238255
Rikenellaceae	28	0.022494271222449663	Wilcoxon signed rank test with continuity correction	two.sided	0.006437373551590951	7.356998344675372e-5	0.05248663285238255
Verrucomicrobiaceae	28	0.022494271222449663	Wilcoxon signed rank test with continuity correction	two.sided	0.011280730795168904	2.2070995034026116e-4	0.05248663285238255
Clostridia unclassified	21	0.03501498101966251	Wilcoxon signed rank test with continuity correction	two.sided	6.437373551590951e-4	0	0.06637415882306182
Clostridiaceae 1	21	0.0355223366234146	Wilcoxon signed rank test with continuity correction	two.sided	0.003157378456256514	3.678499172337686e-5	0.06637415882306182
Enterococcaceae	21	0.036031686218233556	Wilcoxon signed rank test with continuity correction	two.sided	9.196247930844215e-5	0.023137759794004047	0.06637415882306182
Unclassified	21	0.036031686218233556	Wilcoxon signed rank test with continuity correction	two.sided	0.015541659003126724	0	0.06637415882306182
Rhodospirillaceae	15	0.059058229090536735	Wilcoxon signed rank test with continuity correction	two.sided	0.0024216786217889767	3.678499172337686e-5	0.10335190090843929
Coriobacteriaceae	10	0.09751253817810959	Wilcoxon signed rank test with continuity correction	two.sided	3.371957574642879e-4	0	0.162520896963516
Proteobacteria unclassified	6	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	3.0654159769480714e-5	7.724848261909141e-4	0.28866919410225955
Bacteroidales unclassified	1	1	Wilcoxon signed rank test with continuity correction	two.sided	5.51774875850653e-4	0	1
Bifidobacteriaceae	1	1	Wilcoxon signed rank test with continuity correction	two.sided	7.663539942370179e-4	0	1
Clostridiales Incertae Sedis XIII	1	1	Wilcoxon signed rank test with continuity correction	two.sided	3.0654159769480714e-5	0	1
Fusobacteriaceae	1	1	Wilcoxon signed rank test with continuity correction	two.sided	3.0654159769480714e-5	0	1
Gp2 unclassified	1	1	Wilcoxon signed rank test with continuity correction	two.sided	3.0654159769480714e-5	0	1
Lactobacillales unclassified	1	1	Wilcoxon signed rank test with continuity correction	two.sided	3.0654159769480714e-5	0	1
Moraxellaceae	1	1	Wilcoxon signed rank test with continuity correction	two.sided	0	3.678499172337686e-5	1
Oxalobacteraceae	1	1	Wilcoxon signed rank test with continuity correction	two.sided	3.0654159769480714e-5	0	1
Planococcaceae	1	1	Wilcoxon signed rank test with continuity correction	two.sided	0	3.678499172337686e-5	1
Prevotellaceae	1	1	Wilcoxon signed rank test with continuity correction	two.sided	0	3.678499172337686e-5	1
Rhodobacteraceae	1	1	Wilcoxon signed rank test with continuity correction	two.sided	0	3.678499172337686e-5	1
Streptococcaceae	1	1	Wilcoxon signed rank test with continuity correction	two.sided	3.0654159769480714e-5	0	1
Veillonellaceae	1	1	Wilcoxon signed rank test with continuity correction	two.sided	0	3.678499172337686e-5	1
Acetobacteraceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Acidaminococcaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Actinomycetales unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Aerococcaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Alphaproteobacteria unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Alteromonadaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Anaeroplasmataceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Bacillaceae 1	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Bacillales unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Bacilli unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Betaproteobacteria unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Bradyrhizobiaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Brevibacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Burkholderiaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Burkholderiales incertae sedis	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Burkholderiales unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Candidatus Saccharibacteria unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Catabacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Caulobacteraceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Chitinophagaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Clostridiales Incertae Sedis XI	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Corynebacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Coxiellaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Cytophagaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Cytophagales unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Deltaproteobacteria unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Dermabacteraceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Dermacoccaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Desulfovibrionaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Desulfovibrionales unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Dietziaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Eubacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Flavobacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Gammaproteobacteria unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Geodermatophilaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Gp6 unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Labilitrichaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Leuconostocaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Listeriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Micrococcaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Micromonosporaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Nocardiaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Nocardiopsaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Paenibacillaceae 1	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Phyllobacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Pseudomonadaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Rhizobiaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Sphingobacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Sphingomonadaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Sphingomonadales unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Staphylococcaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Xanthomonadaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
