family	statistic	p.value	parameter	method	-1	0	1	2	3	4	5	6	7	8	9	p.value.adj
Peptostreptococcaceae	57.49930644901896	1.0739175375294177e-8	10	Kruskal-Wallis rank sum test	2.627499408812633e-5	0	0.08603089939304763	0.046643369505241866	0.018786620773010326	4.992248876744003e-4	6.130831953896143e-5	0.002601224414724507	1.0509997635250532e-4	0	0.001366299692582569	5.47697944140003e-7
Enterococcaceae	48.847930496669555	4.3431016990709394e-7	10	Kruskal-Wallis rank sum test	0.005097348853096508	0.13668689841211454	0.04053246275519588	0.022880264851940408	0.0031529992905751595	0.0012874747103181902	4.2915823677273007e-4	0.0014451246748469482	0.001681599621640085	1.839249586168843e-4	0.0022596494915788643	1.1074909332630895e-5
Desulfovibrionaceae	47.78315038226837	6.798882624956624e-7	10	Kruskal-Wallis rank sum test	0.005596573740770908	0	2.2990619827110538e-5	0	2.1019995270501064e-4	0.0025749494206363803	0.006774569309055239	0.006305998581150319	0.009038597966315457	0.014805959168659188	0.006358548569326572	1.155810046242626e-5
Coriobacteriaceae	40.74675268571565	1.2510449573950832e-5	10	Kruskal-Wallis rank sum test	8.670748049081689e-4	0	6.897185948133162e-5	1.4713996689350744e-4	1.5764996452875796e-4	9.458997871725479e-4	0.0015940163080129972	7.094248403794109e-4	0.0013925746866706955	0.0018852308258230641	0.0018917995743450958	1.595082320678731e-4
Deferribacteraceae	40.15974332262639	1.5881565795189403e-5	10	Kruskal-Wallis rank sum test	0.012401797209595628	3.6784991723376866e-4	0	0	0.0020231745447857274	0.037074016658346254	0.042639936239347684	0.016054021387845188	0.021309020205470455	0.0333823799889645	0.01668462124596022	1.619919711109319e-4
Verrucomicrobiaceae	36.621368135376756	6.57937639931797e-5	10	Kruskal-Wallis rank sum test	0.04353766520402533	4.2915823677273007e-4	0.0060695236343571825	0.025013794371896266	0.08505215586326492	0.13176909535195355	0.09499724112562075	0.14503796736645735	0.16392968811582018	0.15629023358469743	0.23045797314695604	5.592469939420274e-4
Lachnospiraceae	32.178036146463846	3.7397646467309903e-4	10	Kruskal-Wallis rank sum test	0.13568406947108438	0.023818282140886517	0.04660198638955306	0.0448409049107964	0.07829948238261647	0.1760424603904464	0.3086260805591319	0.17746131007120525	0.18589558317349378	0.29998160750413827	0.15602091489529415	0.0027246856711897216
Clostridia unclassified	28.048952832359856	0.0017729539289999938	10	Kruskal-Wallis rank sum test	9.984497753488006e-4	0	0	2.57494942063638e-4	5.780498699387793e-4	0.001970624556609475	0.004168965728649378	0.001918074568433222	0.0018129745920807167	5.51774875850653e-4	3.678499172337686e-4	0.011243620526164863
Firmicutes unclassified	27.543845914368365	0.002134885254504656	10	Kruskal-Wallis rank sum test	0.0018129745920807169	0	0	6.253448592974066e-4	1.3137497044063165e-4	7.619748285556635e-4	0.003893078290724051	4.203999054100213e-4	0.0011823747339656848	6.897185948133162e-4	0.004387924012717097	0.011243620526164863
Prevotellaceae	27.456129355728198	0.0022046314757186007	10	Kruskal-Wallis rank sum test	0.06781575974145405	1.2261663907792289e-4	0	0	0	2.627499408812633e-5	0	0	0	0	0	0.011243620526164863
Enterobacteriaceae	22.384920266229738	0.01325936358908591	10	Kruskal-Wallis rank sum test	0.17168081137181743	0.44742811599534055	0.2611504506161486	0.10171050211513702	0.10483722641162406	0.06973383430988728	7.356998344675373e-4	0.04193489056464962	0.04527181481384167	0.0034945742137208018	0.03244961769883602	0.06147523118576195
Alteromonadaceae	21.976190476190332	0.015226355613030295	10	Kruskal-Wallis rank sum test	0	9.196247930844215e-5	0	0	0	0	0	0	0	0	0	0.06471201135537875
Porphyromonadaceae	21.576990581593588	0.017410726305134447	10	Kruskal-Wallis rank sum test	0.3894479623742085	5.211207160811722e-4	0.3048786095273129	0.3430568328122126	0.46046927139441396	0.2998502325336977	0.3062963644166513	0.41821908090070675	0.39020993720276415	0.3218686775795475	0.37129194145931316	0.06830361858168128
Deltaproteobacteria unclassified	20.6290150264918	0.02383425446304085	10	Kruskal-Wallis rank sum test	0.0012349247221419375	0	0.0025289681809821593	0.002133529519955858	0.0052549988176252655	0.0034682992196326755	0.004628778125191588	0.0017866995979925904	7.8824982264379e-4	0.0018392495861688431	0.004782048924038993	0.0868247841153631
