genus	statistic	p.value	parameter	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj
Burkholderiales unclassified	38.53293413173654	2.9484980395386926e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.027904043721590163	2.29982847084018e-5
Parasutterella	36.947729875503335	6.135739175608674e-7	5	Kruskal-Wallis rank sum test	0	0	0.012966709582490344	0.003914974119130823	7.356998344675372e-5	0	2.392938278487383e-5
Parabacteroides	31.1557888174393	8.726611168111217e-6	5	Kruskal-Wallis rank sum test	9.196247930844215e-5	1.839249586168843e-4	6.130831953896143e-5	0.08308153130665545	0.09556740849733308	0.18266375890065426	2.2689189037089166e-4
Anaerostipes	30.22837370242212	1.3297910729682795e-5	5	Kruskal-Wallis rank sum test	0	0	0	0	0.01125620746735332	0	2.593092592288145e-4
Bifidobacterium	28.73998164576323	2.6076052044509784e-5	5	Kruskal-Wallis rank sum test	0.003793452271473239	0.0034945742137208018	0	0	0	0	3.654504716919763e-4
Deltaproteobacteria unclassified	28.573384262795983	2.8111574745536637e-5	5	Kruskal-Wallis rank sum test	0	0	0	2.627499408812633e-5	0	0.0034682992196326755	3.654504716919763e-4
Betaproteobacteria unclassified	26.11607142857137	8.472736705062932e-5	5	Kruskal-Wallis rank sum test	0	0	0	0	0	7.356998344675372e-4	7.343038477721207e-4
Desulfovibrio	26.123492875410978	8.444689261542072e-5	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0019443495625213485	7.343038477721207e-4
Desulfovibrionaceae unclassified	26.11607142857137	8.472736705062932e-5	5	Kruskal-Wallis rank sum test	0	0	0	0	0	6.305998581150319e-4	7.343038477721207e-4
Mucispirillum	24.492127805005747	1.7458322997342888e-4	5	Kruskal-Wallis rank sum test	4.5981239654221075e-5	1.0509997635250532e-4	3.0654159769480714e-5	0.015003021624320134	0.051940408313408126	0.037074016658346254	0.001348236846591445
Proteus	24.299635082263283	1.9013596554494738e-4	5	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0	0	3.678499172337686e-4	0.0400588559867574	2.627499408812633e-5	0.001348236846591445
Turicibacter	22.654911922179423	3.9288655899978483e-4	5	Kruskal-Wallis rank sum test	0.01967997057200662	0.031109593000341575	0.030163693213169026	1.57649964528758e-4	0.0055177487585065296	2.627499408812633e-5	0.0025537626334986015
Anaerofustis	22.095323741007196	5.021953024972665e-4	5	Kruskal-Wallis rank sum test	0	0	0	0	4.0463490895714546e-4	0	0.003013171814983599
Enterococcus	21.50118173902227	6.511478447627448e-4	5	Kruskal-Wallis rank sum test	0	2.627499408812633e-5	9.196247930844215e-5	1.0509997635250532e-4	0.00503954386610263	0.0012874747103181902	0.0036278237065352926
Bacteroides	21.05236104774427	7.918135378881856e-4	5	Kruskal-Wallis rank sum test	0.2513334559499724	0.26540371528416407	0.5955796701612409	0.32567855172232585	0.0012139047268714363	0.027404818833915764	0.004117430397018566
Butyricimonas	20.357884330202726	0.0010704683348433939	5	Kruskal-Wallis rank sum test	0	0	0	0.013321422002680048	0	0	0.004911560595163807
Rhodospirillaceae unclassified	20.357884330202726	0.0010704683348433939	5	Kruskal-Wallis rank sum test	0	0	0	0.004782048924038992	0	0	0.004911560595163807
Clostridium XVIII	19.24555696579388	0.0017298283625211178	5	Kruskal-Wallis rank sum test	0	0	0.0025749494206363803	0.002785149373341391	0.00423027404818834	0.003809874142778318	0.0074959229042581765
Dorea	19.081660714285732	0.0018559627360364226	5	Kruskal-Wallis rank sum test	0	0	7.050456746980565e-4	2.1019995270501064e-4	8.460548096376677e-4	0	0.007619215442675841
Alistipes	18.153566203070984	0.0027599749940137633	5	Kruskal-Wallis rank sum test	0	0.00701542342152973	3.0654159769480714e-5	0.011823747339656849	1.4713996689350744e-4	0.04277569037546967	0.01068236534475105
Blautia	18.056826901376652	0.0028760214389714363	5	Kruskal-Wallis rank sum test	0	0	1.532707988474036e-4	0	0.008754828030163694	0.008723298037257942	0.01068236534475105
Eisenbergiella	17.823247142245883	0.0031762804403744835	5	Kruskal-Wallis rank sum test	0	2.627499408812633e-5	0.0010422414321623445	4.466748994981476e-4	0	0	0.011261357924964077
Oscillibacter	17.573130733634642	0.0035318307745014783	5	Kruskal-Wallis rank sum test	0.006644289130034946	0.0014451246748469482	0.0030347618171785913	0.0078824982264379	0.006952363435718227	3.678499172337686e-4	0.011478450017129804
Porphyromonadaceae unclassified	17.63280907046577	0.003443612436555675	5	Kruskal-Wallis rank sum test	0.286807982343204	0.15793898946372736	3.065415976948072e-4	0.07525158306839382	4.7820489240389924e-4	0.11718647363304344	0.011478450017129804
Bacteroidetes unclassified	16.771266233766166	0.004954660943334471	5	Kruskal-Wallis rank sum test	0	0	0	0.014135946819411965	0	5.254998817625266e-5	0.01545854214320355
Peptostreptococcaceae unclassified	16.39376859136003	0.005805307580163208	5	Kruskal-Wallis rank sum test	9.196247930844215e-5	3.9412491132189494e-4	0.0010115872723928637	0	0.0013978296854883208	4.992248876744003e-4	0.017415922740489625
Anaeroplasma	16.03320657376878	0.006749904377481742	5	Kruskal-Wallis rank sum test	0.0031267242964870337	0.0026537744029007594	0	0	0.004782048924038992	0.0022596494915788643	0.019499723757169476
Roseburia	15.537719145981598	0.008295654520562912	5	Kruskal-Wallis rank sum test	0	0	0	0.002942799337870149	0	2.627499408812633e-4	0.023109323307282395
Oxalobacteraceae unclassified	14.887218045112824	0.010855265833541919	5	Kruskal-Wallis rank sum test	0	0	0	1.5764996452875796e-4	0	0	0.028301588637760704
Romboutsia	14.88052415210693	0.010885226399138732	5	Kruskal-Wallis rank sum test	0	0	0	0.0011298247457894321	0	0	0.028301588637760704
Firmicutes unclassified	14.484994330469771	0.012805164195047548	5	Kruskal-Wallis rank sum test	2.528968180982159e-4	0.0022596494915788643	6.130831953896143e-5	0.007751123255997267	0.0027588743792532648	7.619748285556635e-4	0.0322194453939906
Enterorhabdus	13.628782915818103	0.01814758059535183	5	Kruskal-Wallis rank sum test	5.51774875850653e-4	8.933497989962952e-4	0	3.678499172337686e-4	3.678499172337686e-4	8.145248167319162e-4	0.04423472770117009
Butyricicoccus	12.811034270234614	0.025215420119118422	5	Kruskal-Wallis rank sum test	0.002207099503402612	0.003100449302398907	6.130831953896144e-4	0.0016553246275519589	1.1035497517013058e-4	7.882498226437899e-4	0.059600083917916276
Clostridiales unclassified	12.695895924917084	0.026401473392840026	5	Kruskal-Wallis rank sum test	9.885966525657532e-4	0.006778948474736593	0.003586536693029244	0.015134396594760766	0.007908773220526025	0.003599674190073307	0.06056808601886829
Bacillus	11.631578947368405	0.040200015334752835	5	Kruskal-Wallis rank sum test	0	0	6.130831953896143e-5	0	0	0	0.08872361636436524
Bilophila	11.584330202669289	0.0409493613989378	5	Kruskal-Wallis rank sum test	0	2.627499408812633e-5	0	0.007304448356499119	0	0	0.08872361636436524
Lactobacillus	11.363519163763073	0.044630284483388516	5	Kruskal-Wallis rank sum test	0.05393599411440132	0.09606137838618986	0.025810802525902763	0.049869938779263774	0.17480228066948686	0.14467011744922356	0.0940854645866028
Unclassified	11.265666601195964	0.04635973502499735	5	Kruskal-Wallis rank sum test	9.885966525657532e-4	7.619748285556635e-4	2.758874379253265e-4	0.009826847788959247	0.009564097848077983	4.203999054100213e-4	0.09515945610394194
Enterobacteriaceae unclassified	10.164980570996809	0.07069330112381492	5	Kruskal-Wallis rank sum test	0.0048510207835203234	0.008407998108200426	0.05879467843786402	4.992248876744003e-4	5.51774875850653e-4	0.06970755931579915	0.14138660224762983
Streptococcus	10.092757936507871	0.07264925172244414	5	Kruskal-Wallis rank sum test	6.897185948133162e-5	7.882498226437898e-5	0	0	0	0	0.14166604085876608
Olsenella	9.861916936241297	0.07924365957041904	5	Kruskal-Wallis rank sum test	6.897185948133162e-5	2.627499408812633e-5	1.532707988474036e-4	0	0	0	0.1507562304022606
Candidatus Saccharibacteria unclassified	9.670329670329597	0.08513374071400598	5	Kruskal-Wallis rank sum test	0	0	0	3.1529992905751593e-4	0	0	0.15091890399301058
Desulfovibrionales unclassified	9.670329670329597	0.08513374071400598	5	Kruskal-Wallis rank sum test	0	0	0	0	0	7.882498226437898e-5	0.15091890399301058
Gordonibacter	9.676691729323233	0.08493181734011328	5	Kruskal-Wallis rank sum test	0	0	0	5.254998817625266e-5	0	0	0.15091890399301058
Akkermansia	9.34963143151998	0.09590523365808017	5	Kruskal-Wallis rank sum test	0.22284807798418246	0.21668987624477784	0.12822635031573784	0.08413253107018051	0.30741217583226044	0.13176909535195355	0.15951668330435392
Clostridium IV	9.343608382537724	0.09611902711929018	5	Kruskal-Wallis rank sum test	0.0016553246275519589	0.001103549751701306	5.824290356201337e-4	0.0018655245802569693	0.002869229354423395	6.568748522031582e-4	0.15951668330435392
Ruminococcaceae unclassified	9.4311794362949	0.09305329670904319	5	Kruskal-Wallis rank sum test	0.01873735515909509	0.020389395412386033	0.010545030960701368	0.02370004466748995	0.01806143093617804	0.016132846370109567	0.15951668330435392
Clostridium XlVb	8.535653615919772	0.129081444176299	5	Kruskal-Wallis rank sum test	0.0029198087180430385	0.0012086497280538113	0.0030041076574091104	0.004965973882655877	0.0012506897185948134	0.001366299692582569	0.20975734678648586
Coriobacteriaceae unclassified	8.098494234792339	0.15089030505946288	5	Kruskal-Wallis rank sum test	2.758874379253265e-4	5.51774875850653e-4	0	2.3647494679313697e-4	2.207099503402612e-4	1.3137497044063165e-4	0.24019273050281847
Acetatifactor	7.49320767385113	0.18646658811146652	5	Kruskal-Wallis rank sum test	0.001448409049107964	0.0010509997635250532	7.356998344675372e-4	0.003993799101395202	0.003788854147507817	0.001839249586168843	0.2908878774538878
Anaerotruncus	7.000000000000047	0.22064030793670728	5	Kruskal-Wallis rank sum test	0	0	0	0	7.356998344675372e-5	0	0.30732042891184225
Anaerovorax	7.000000000000047	0.22064030793670728	5	Kruskal-Wallis rank sum test	0	0	0	0	3.678499172337686e-5	0	0.30732042891184225
Enhydrobacter	7.000000000000047	0.22064030793670728	5	Kruskal-Wallis rank sum test	0	0	0	0	3.678499172337686e-5	0	0.30732042891184225
Gammaproteobacteria unclassified	7.000000000000047	0.22064030793670728	5	Kruskal-Wallis rank sum test	0	0	0	0	7.356998344675372e-5	0	0.30732042891184225
Sphingomonadales unclassified	7.000000000000047	0.22064030793670728	5	Kruskal-Wallis rank sum test	0	0	0	0	3.678499172337686e-5	0	0.30732042891184225
Stenotrophomonas	7.000000000000047	0.22064030793670728	5	Kruskal-Wallis rank sum test	0	0	0	0	7.356998344675372e-5	0	0.30732042891184225
