otu	statistic	p.value	method	alternative	-1	0	p.value.adj
Enterobacteriaceae (OTU 1)	0	1.232989270728632e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.839249586168843e-4	0.41327938201213904	3.8688519437158936e-4
Akkermansia (OTU 4)	487.5	2.811427077583005e-6	Wilcoxon signed rank test with continuity correction	two.sided	0.009564097848077983	0	3.8688519437158936e-4
Lachnospiraceae (OTU 50)	434	2.90075157853011e-6	Wilcoxon signed rank test with continuity correction	two.sided	9.196247930844216e-4	0	3.8688519437158936e-4
Ruminococcaceae (OTU 66)	435	2.630700614046169e-6	Wilcoxon signed rank test with continuity correction	two.sided	7.356998344675372e-4	0	3.8688519437158936e-4
Acetatifactor (OTU 70)	435	2.6556030802117656e-6	Wilcoxon signed rank test with continuity correction	two.sided	9.196247930844216e-4	0	3.8688519437158936e-4
Ruminococcaceae (OTU 84)	435	2.6253896468908265e-6	Wilcoxon signed rank test with continuity correction	two.sided	7.356998344675372e-4	0	3.8688519437158936e-4
Lachnospiraceae (OTU 107)	406	3.90355016742635e-6	Wilcoxon signed rank test with continuity correction	two.sided	0.001103549751701306	0	3.8688519437158936e-4
Lachnospiraceae (OTU 117)	406	3.836369545741859e-6	Wilcoxon signed rank test with continuity correction	two.sided	5.51774875850653e-4	0	3.8688519437158936e-4
Enterorhabdus (OTU 156)	406	3.6940752046622203e-6	Wilcoxon signed rank test with continuity correction	two.sided	3.678499172337686e-4	0	3.8688519437158936e-4
Oscillibacter (OTU 40)	378	5.798089241385607e-6	Wilcoxon signed rank test with continuity correction	two.sided	9.196247930844216e-4	0	4.356966259430153e-4
Lachnospiraceae (OTU 68)	378	5.861389586677336e-6	Wilcoxon signed rank test with continuity correction	two.sided	9.196247930844216e-4	0	4.356966259430153e-4
Lachnospiraceae (OTU 78)	378	5.704187397645533e-6	Wilcoxon signed rank test with continuity correction	two.sided	5.51774875850653e-4	0	4.356966259430153e-4
Lachnospiraceae (OTU 42)	375.5	7.771179277355675e-6	Wilcoxon signed rank test with continuity correction	two.sided	0.0020231745447857274	0	4.7346879667435425e-4
Oscillibacter (OTU 77)	351	8.492713841692453e-6	Wilcoxon signed rank test with continuity correction	two.sided	7.356998344675372e-4	0	4.7346879667435425e-4
Lachnospiraceae (OTU 116)	351	8.302058526841088e-6	Wilcoxon signed rank test with continuity correction	two.sided	5.51774875850653e-4	0	4.7346879667435425e-4
Lachnospiraceae (OTU 151)	351	8.386360757361927e-6	Wilcoxon signed rank test with continuity correction	two.sided	7.356998344675372e-4	0	4.7346879667435425e-4
Lachnospiraceae (OTU 9)	420	1.2538129566492288e-5	Wilcoxon signed rank test with continuity correction	two.sided	0.013426521979032555	0	5.437779203353798e-4
Ruminococcaceae (OTU 55)	325	1.2801946554980914e-5	Wilcoxon signed rank test with continuity correction	two.sided	0.0016553246275519589	0	5.437779203353798e-4
