genus	statistic	p.value	parameter	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj
Burkholderiales Unclassified	43.5993377483444	2.7931202024913074e-8	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.018839170761186578	7.410443046777124e-7
Deltaproteobacteria Unclassified	43.6065573770492	2.7837160883836123e-8	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.004782048924038993	7.410443046777124e-7
Parasutterella	43.500440442399935	2.925174886885707e-8	5	Kruskal-Wallis rank sum test	0	0	0.02357304886273067	0.003954386610263013	0	0	7.410443046777124e-7
Betaproteobacteria Unclassified	39.25046609182013	2.1145045460380602e-7	5	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0	0	0	0	0.007829948238261646	3.214046909977851e-6
Desulfovibrionaceae Unclassified	39.447475945696574	1.9298731809784008e-7	5	Kruskal-Wallis rank sum test	0	2.0436106512987143e-5	0	0	0	0.003967524107307076	3.214046909977851e-6
Parabacteroides	38.2811756895407	3.312954667481868e-7	5	Kruskal-Wallis rank sum test	4.5981239654221075e-5	5.926470888766272e-4	3.0654159769480714e-5	0.06977653117528049	0.3961218108725926	0.19493418113980926	4.196409245477033e-6
Bifidobacterium	34.45247607157719	1.934777335761131e-6	5	Kruskal-Wallis rank sum test	0.0062534485929740665	0.0014918357754480616	0	0	0	0	2.100615393112085e-5
Mucispirillum	33.57039810917628	2.8989338444079703e-6	5	Kruskal-Wallis rank sum test	0	1.2261663907792289e-4	3.0654159769480714e-5	0.02563454110722825	0.02561811923592317	0.01668462124596022	2.753987152187572e-5
Clostridium XVIII	31.87035278465913	6.302988428031643e-6	5	Kruskal-Wallis rank sum test	0	2.0436106512987143e-5	0.0070811109067500455	0.0014254184292808534	0.002154549515226359	0.0013925746866706955	5.322523561448943e-5
Alistipes	31.376663385715418	7.892254005959522e-6	5	Kruskal-Wallis rank sum test	4.5981239654221075e-5	0.1122555330758384	3.0654159769480714e-5	0.03289957697259518	2.627499408812633e-5	0.035707716965763685	5.9981130445292365e-5
Dorea	30.52032859927595	1.1647966807298198e-5	5	Kruskal-Wallis rank sum test	4.5981239654221075e-5	2.0436106512987143e-5	8.889706333149408e-4	2.2990619827110538e-5	0.0012874747103181902	0	8.047686157769664e-5
Desulfovibrio	29.482778519727624	1.864097098527287e-5	5	Kruskal-Wallis rank sum test	0	4.0872213025974286e-5	0	0	0	0.0023910244620194963	1.1805948290672817e-4
Akkermansia	27.031458477110647	5.624342503121345e-5	5	Kruskal-Wallis rank sum test	0.021933051315063453	0.17323687491059203	0.2259211575010729	0.015035865366930292	0.08147875666727974	0.23045797314695604	3.28807715567094e-4
