genus	statistic	p.value	parameter	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj
Betaproteobacteria Unclassified	38.53293413173654	2.9484980395386926e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.005964423658004677	9.287768824546882e-6
Desulfovibrio	38.53293413173654	2.9484980395386926e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0031529992905751595	9.287768824546882e-6
Parasutterella	36.02889424952995	9.372540504179236e-7	5	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0	0.016553246275519587	0.001970624556609475	0	0	1.9682335058776394e-5
Mucispirillum	35.17508798997158	1.388311333491319e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.05249743818807641	0.020369689166819936	0.016054021387845188	2.1865903502488274e-5
Parabacteroides	33.55906635973262	2.9140145629764414e-6	5	Kruskal-Wallis rank sum test	2.2990619827110538e-5	2.627499408812633e-5	5.254998817625266e-5	0.08071678183872409	0.2637943718962663	0.16209043852965133	3.671658349350316e-5
Burkholderiales Unclassified	32.16249874664733	5.516876684930874e-6	5	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0	2.627499408812633e-5	0	0	0.013689271919913818	3.861813679451612e-5
Deltaproteobacteria Unclassified	32.169415032112425	5.4994983637216e-6	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0017866995979925904	3.861813679451612e-5
Desulfovibrionaceae Unclassified	32.169415032112425	5.4994983637216e-6	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0031529992905751595	3.861813679451612e-5
Proteus	32.735308441558466	4.247405871186526e-6	5	Kruskal-Wallis rank sum test	0	0	0	5.254998817625266e-5	0.027404818833915764	0	3.861813679451612e-5
Enterococcus	26.604204853940935	6.811029537169917e-5	5	Kruskal-Wallis rank sum test	0	0	2.627499408812633e-5	0	0.007724848261909141	0.0014451246748469482	4.2909486084170476e-4
Dorea	26.336552296870003	7.677557818610587e-5	5	Kruskal-Wallis rank sum test	4.5981239654221075e-5	0	0.0017341496098163378	1.57649964528758e-4	5.057936361964318e-4	0	4.397146750658791e-4
Bifidobacterium	24.845330117400902	1.4924852417480216e-4	5	Kruskal-Wallis rank sum test	0.0020231745447857274	3.678499172337686e-4	0	2.627499408812633e-5	0	0	7.835547519177114e-4
Alistipes	23.436286052275833	2.785202829249864e-4	5	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0.03815129141595943	5.254998817625266e-5	0.029611918337318376	0	0.02984839328411151	0.00134975214032878
Turicibacter	23.11653482220955	3.2068144184118675e-4	5	Kruskal-Wallis rank sum test	0.02862332168475262	0.01216532226280249	0.03539241703670617	1.57649964528758e-4	0.010621666360125069	2.627499408812633e-5	0.0014430664882853403
Butyricicoccus	22.451706700379237	4.2955465807851607e-4	5	Kruskal-Wallis rank sum test	9.656060327386427e-4	0.00394124911321895	2.3647494679313697e-4	0.0015764996452875797	2.758874379253265e-4	4.7294989358627395e-4	0.001790942116311631
Porphyromonadaceae Unclassified	22.321313625791085	4.5484244223787453e-4	5	Kruskal-Wallis rank sum test	0.3095457053522163	0.15231614072886834	1.57649964528758e-4	0.10454820147665467	2.299061982711054e-4	0.2561286423710555	0.001790942116311631
Roseburia	22.021440733919512	5.187071302059822e-4	5	Kruskal-Wallis rank sum test	0	0	2.627499408812633e-5	0.0012874747103181902	0	0	0.0019222676001751104
Bacteroides	20.481408610677985	0.0010146736511932523	5	Kruskal-Wallis rank sum test	0.19047728526761082	0.2185554008250348	0.4249454793872672	0.2370004466748995	3.2186867757954754e-4	0.024383194513781237	0.0035494476365859904
Butyricimonas	20.357884330202726	0.0010704683348433939	5	Kruskal-Wallis rank sum test	0	0	0	0.008749573031346068	0	0	0.0035494476365859904
Clostridium XVIII	18.963049760090772	0.001952835609687783	5	Kruskal-Wallis rank sum test	0	2.627499408812633e-5	0.002548674426548254	0.0023647494679313696	0.0026669118999448228	0.0024172994561076225	0.006151432170516517
Anaerostipes	18.461538461538503	0.00242026869044697	5	Kruskal-Wallis rank sum test	0	0	0	0	0.0027588743792532648	0	0.0072608060713409105
Blautia	17.28695911200295	0.003986529297674555	5	Kruskal-Wallis rank sum test	0	0	1.3137497044063165e-4	0	0.014668015449696524	0.013768096902178195	0.01141597026152259
Firmicutes Unclassified	16.929281904851806	0.0046358869909837366	5	Kruskal-Wallis rank sum test	0.00554073937833364	0.004072624083659581	7.356998344675372e-4	0.016789721222312724	0.016369321316902705	4.203999054100213e-4	0.012698299149216323
Bacteroidetes Unclassified	16.771266233766166	0.004954660943334471	5	Kruskal-Wallis rank sum test	0	0	0	0.012060222286449986	0	6.831498462912845e-4	0.013005984976252986
Enterorhabdus	16.53595125753042	0.00546938998111489	5	Kruskal-Wallis rank sum test	0.001402427809453743	0.0014976746630232008	7.8824982264379e-5	0.0014713996689350744	1.3794371896266324e-4	5.51774875850653e-4	0.013782862752409522
Akkermansia	16.21301917896344	0.0062614923733978565	5	Kruskal-Wallis rank sum test	0.05260253816442891	0.12890512099634777	0.15454951522635907	0.0454031897842823	0.05292440684200846	0.14503796736645735	0.015172077674002497
Oscillibacter	15.752968364280374	0.007585918893083988	5	Kruskal-Wallis rank sum test	0.011909141070443259	0.010483722641162405	0.01818229590898342	0.007120523397882235	0.0084605480963766775	0.0026012244147245065	0.017700477417195975
Unclassified	15.334366045845258	0.009025223241224114	5	Kruskal-Wallis rank sum test	0.012506897185948133	0.0031267242964870333	3.9412491132189494e-4	0.009012322972227331	0.012552878425602354	3.4157492314564226e-4	0.020306752292754256
Bilophila	14.887218045112824	0.010855265833541919	5	Kruskal-Wallis rank sum test	0	0	0	0.004782048924038992	0	0	0.02143028947330438
Oxalobacteraceae Unclassified	14.887218045112824	0.010855265833541919	5	Kruskal-Wallis rank sum test	0	0	0	1.3137497044063165e-4	0	0	0.02143028947330438
Rhodospirillaceae Unclassified	14.88052415210693	0.010885226399138732	5	Kruskal-Wallis rank sum test	0	0	0	0.0016553246275519587	0	0	0.02143028947330438
Romboutsia	14.88052415210693	0.010885226399138732	5	Kruskal-Wallis rank sum test	0	0	0	6.30599858115032e-4	0	0	0.02143028947330438
Clostridium XlVa	13.793385820424286	0.016976516257501687	5	Kruskal-Wallis rank sum test	0.003379621114585249	0.007882498226437898	0.022491394939436138	0.0023121994797551167	0.038854147507816815	0.008434273102288552	0.0324097128552305
Peptostreptococcaceae Unclassified	13.274576696350177	0.020937157706808998	5	Kruskal-Wallis rank sum test	0	1.0509997635250532e-4	1.57649964528758e-4	0	0.015449696523818283	0.002601224414724507	0.03879532163320491
Anaeroplasma	12.00139600771185	0.03476865698192265	5	Kruskal-Wallis rank sum test	0.0098169946661762	0.010562547623426784	0.0024961244383720016	2.627499408812633e-5	0.0062534485929740665	0.002785149373341391	0.06084514971836463
Ruminococcaceae Unclassified	12.052264808362395	0.0340786076206256	5	Kruskal-Wallis rank sum test	0.036670038624241307	0.04973856380882315	0.020284295436033526	0.031162142988517827	0.03149714916314144	0.020415670406474157	0.06084514971836463
