id	mouse_id	unique_cage	vendor	cage	mouse	day	collection_date	experiment	dilution1	dilution2	weight	run	plate	plate_location	duplicate_run	duplicate_plate	duplicate_plate_location	cfu1	cfu2	cfu	cfu_d1	cfu_d2	cfu_d3	cfu_d4	cfu_d5	cfu_d6	cfu_d7	clearance_status_d7	cfu_d8	cfu_d9	baseline_weight	weight_change
S11Dn1E2	2_Schloss_1_1	2_Schloss_1	Schloss	1	1	-1	18-Feb-19	2	NA	NA	19.2	run_1	plate_3	B10	NA	NA	NA	NA	NA	NA	33000000	NA	120000	NA	0	NA	0	not_detectable	0	0	19.2	0
S12Dn1E2	2_Schloss_1_2	2_Schloss_1	Schloss	1	2	-1	18-Feb-19	2	NA	NA	16.5	run_1	plate_3	A11	NA	NA	NA	NA	NA	NA	163000000	NA	400000	20000	4000	0	0	not_detectable	0	0	16.5	0
S21Dn1E2	2_Schloss_2_1	2_Schloss_2	Schloss	2	1	-1	18-Feb-19	2	NA	NA	18.1	run_1	plate_3	B7	NA	NA	NA	NA	NA	NA	44000000	NA	140000	NA	0	0	0	not_detectable	0	0	18.1	0
S22Dn1E2	2_Schloss_2_2	2_Schloss_2	Schloss	2	2	-1	18-Feb-19	2	NA	NA	17.7	run_1	plate_3	A10	NA	NA	NA	NA	NA	NA	82000000	NA	40000	NA	0	0	0	not_detectable	NA	0	17.7	0
Y11Dn1E2	2_Young_1_1	2_Young_1	Young	1	1	-1	18-Feb-19	2	NA	NA	19.4	run_1	plate_3	B1	NA	NA	NA	NA	NA	NA	75000000	NA	720000	340000	24000	0	1000	colonized	0	0	19.4	0
Y12Dn1E2	2_Young_1_2	2_Young_1	Young	1	2	-1	18-Feb-19	2	NA	NA	18.9	run_1	plate_3	A6	NA	NA	NA	NA	NA	NA	53000000	NA	870000	870000	208000	214000	3800	colonized	0	0	18.9	0
Y21Dn1E2	2_Young_2_1	2_Young_2	Young	2	1	-1	18-Feb-19	2	NA	NA	19.2	run_1	plate_3	B3	NA	NA	NA	NA	NA	NA	34000000	NA	120000	NA	0	0	0	not_detectable	0	0	19.2	0
Y22Dn1E2	2_Young_2_2	2_Young_2	Young	2	2	-1	18-Feb-19	2	NA	NA	18.4	run_1	plate_3	A2	NA	NA	NA	NA	NA	NA	170000000	37000000	1900000	20000	1000	0	0	not_detectable	0	0	18.4	0
J11Dn1E2	2_Jackson_1_1	2_Jackson_1	Jackson	1	1	-1	18-Feb-19	2	NA	NA	18.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	340000000	NA	41000000	5270000	299000	1239000	32000	colonized	NA	0	18.1	0
J12Dn1E2	2_Jackson_1_2	2_Jackson_1	Jackson	1	2	-1	18-Feb-19	2	NA	NA	17.7	run_1	plate_3	A12	NA	NA	NA	NA	NA	NA	126000000	NA	3130000	5300000	1320000	4080000	65000	colonized	NA	0	17.7	0
J21Dn1E2	2_Jackson_2_1	2_Jackson_2	Jackson	2	1	-1	18-Feb-19	2	NA	NA	17.5	run_1	plate_3	B4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no_data	NA	NA	17.5	0
J22Dn1E2	2_Jackson_2_2	2_Jackson_2	Jackson	2	2	-1	18-Feb-19	2	NA	NA	16.7	run_1	plate_3	B8	NA	NA	NA	NA	NA	NA	184000000	NA	600000	4800000	195000	593000	423000	colonized	NA	0	16.7	0
C11Dn1E2	2_Charles River_1_1	2_Charles River_1	Charles River	1	1	-1	18-Feb-19	2	NA	NA	18.7	run_1	plate_3	A8	NA	NA	NA	NA	NA	NA	NA	NA	20000	120000	0	0	0	not_detectable	NA	0	18.7	0
C12Dn1E2	2_Charles River_1_2	2_Charles River_1	Charles River	1	2	-1	18-Feb-19	2	NA	NA	16.9	run_1	plate_3	B2	NA	NA	NA	NA	NA	NA	40000000	89000000	1100000	NA	0	2000	200	colonized	0	0	16.9	0
C21Dn1E2	2_Charles River_2_1	2_Charles River_2	Charles River	2	1	-1	18-Feb-19	2	NA	NA	17.6	run_1	plate_3	A7	NA	NA	NA	NA	NA	NA	55000000	1999999.9999999998	NA	NA	0	0	0	not_detectable	0	0	17.6	0
C22Dn1E2	2_Charles River_2_2	2_Charles River_2	Charles River	2	2	-1	18-Feb-19	2	NA	NA	18.9	run_1	plate_3	A5	NA	NA	NA	NA	NA	NA	25999999.999999996	NA	20000	NA	0	0	0	not_detectable	0	0	18.9	0
T11Dn1E2	2_Taconic_1_1	2_Taconic_1	Taconic	1	1	-1	18-Feb-19	2	NA	NA	17.9	run_1	plate_3	A4	NA	NA	NA	NA	NA	NA	5999999.999999999	NA	NA	130000	180000	340000	10000	colonized	NA	0	17.9	0
T12Dn1E2	2_Taconic_1_2	2_Taconic_1	Taconic	1	2	-1	18-Feb-19	2	NA	NA	17.5	run_1	plate_3	B11	NA	NA	NA	NA	NA	NA	46000000	NA	20000	2630000	100000	NA	8000	colonized	4000	0	17.5	0
T21Dn1E2	2_Taconic_2_1	2_Taconic_2	Taconic	2	1	-1	18-Feb-19	2	NA	NA	17.9	run_1	plate_3	A1	NA	NA	NA	NA	NA	NA	120000000	NA	200000	900000	60000	NA	12000	colonized	NA	0	17.9	0
T22Dn1E2	2_Taconic_2_2	2_Taconic_2	Taconic	2	2	-1	18-Feb-19	2	NA	NA	21.8	run_1	plate_3	B9	NA	NA	NA	NA	NA	NA	31000000	NA	400000	630000	100000	NA	14000	colonized	NA	0	21.8	0
E11Dn1E2	2_Envigo_1_1	2_Envigo_1	Envigo	1	1	-1	18-Feb-19	2	NA	NA	18.7	run_1	plate_3	B5	NA	NA	NA	NA	NA	NA	22000000	52000000	NA	NA	NA	NA	NA	no_data	NA	NA	18.7	0
E12Dn1E2	2_Envigo_1_2	2_Envigo_1	Envigo	1	2	-1	18-Feb-19	2	NA	NA	21.5	run_1	plate_3	B6	NA	NA	NA	NA	NA	NA	75000000	NA	1250000	NA	0	NA	0	not_detectable	NA	0	21.5	0
E21Dn1E2	2_Envigo_2_1	2_Envigo_2	Envigo	2	1	-1	18-Feb-19	2	NA	NA	20.1	run_1	plate_3	A3	NA	NA	NA	NA	NA	NA	5999999.999999999	15000000	2950000	21600000	NA	NA	11760000	colonized	NA	80000	20.1	0
E22Dn1E2	2_Envigo_2_2	2_Envigo_2	Envigo	2	2	-1	18-Feb-19	2	NA	NA	18.2	run_1	plate_3	A9	NA	NA	NA	NA	NA	NA	19000000	NA	9670000	2930000	560000	277000	61000	colonized	38000	32000	18.2	0
S11D0E2	2_Schloss_1_1	2_Schloss_1	Schloss	1	1	0	19-Feb-19	2	-1	NA	18.2	run_1	plate_3	E3	NA	NA	NA	0	NA	0	33000000	NA	120000	NA	0	NA	0	not_detectable	0	0	19.2	-1
S12D0E2	2_Schloss_1_2	2_Schloss_1	Schloss	1	2	0	19-Feb-19	2	-1	NA	16	run_1	plate_3	E8	NA	NA	NA	0	NA	0	163000000	NA	400000	20000	4000	0	0	not_detectable	0	0	16.5	-0.5
S21D0E2	2_Schloss_2_1	2_Schloss_2	Schloss	2	1	0	19-Feb-19	2	-1	NA	17.7	run_1	plate_3	E2	NA	NA	NA	0	NA	0	44000000	NA	140000	NA	0	0	0	not_detectable	0	0	18.1	-0.40000000000000213
S22D0E2	2_Schloss_2_2	2_Schloss_2	Schloss	2	2	0	19-Feb-19	2	-1	NA	17.6	run_1	plate_3	E1	NA	NA	NA	0	NA	0	82000000	NA	40000	NA	0	0	0	not_detectable	NA	0	17.7	-0.09999999999999787
Y11D0E2	2_Young_1_1	2_Young_1	Young	1	1	0	19-Feb-19	2	-1	NA	19.2	run_1	plate_3	D11	NA	NA	NA	0	NA	0	75000000	NA	720000	340000	24000	0	1000	colonized	0	0	19.4	-0.1999999999999993
Y12D0E2	2_Young_1_2	2_Young_1	Young	1	2	0	19-Feb-19	2	-1	NA	18.8	run_1	plate_3	D9	NA	NA	NA	0	NA	0	53000000	NA	870000	870000	208000	214000	3800	colonized	0	0	18.9	-0.09999999999999787
Y21D0E2	2_Young_2_1	2_Young_2	Young	2	1	0	19-Feb-19	2	-1	NA	18.9	run_1	plate_3	F4	NA	NA	NA	0	NA	0	34000000	NA	120000	NA	0	0	0	not_detectable	0	0	19.2	-0.3000000000000007
Y22D0E2	2_Young_2_2	2_Young_2	Young	2	2	0	19-Feb-19	2	-1	NA	18	run_1	plate_3	F1	NA	NA	NA	0	NA	0	170000000	37000000	1900000	20000	1000	0	0	not_detectable	0	0	18.4	-0.3999999999999986
J11D0E2	2_Jackson_1_1	2_Jackson_1	Jackson	1	1	0	19-Feb-19	2	-1	NA	18.3	run_1	plate_3	F3	NA	NA	NA	0	NA	0	340000000	NA	41000000	5270000	299000	1239000	32000	colonized	NA	0	18.1	0.1999999999999993
