family	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	Young-Schloss	Jackson-Schloss	Charles River-Schloss	Taconic-Schloss	Envigo-Schloss	Jackson-Young	Charles River-Young	Taconic-Young	Envigo-Young	Charles River-Jackson	Taconic-Jackson	Envigo-Jackson	Taconic-Charles River	Envigo-Charles River	Envigo-Taconic
Bacteroidaceae	Kruskal-Wallis rank sum test	0.0020231745447857274	0.0018392495861688431	0.7544601802464594	0.41281956961559685	3.678499172337686e-4	0.001103549751701306	0.6890702196467596	0.01051173717964625	0.01051173717964625	0.2712186573667562	0.9579672518055619	0.01051173717964625	0.023310023310023312	0.08018265835153492	0.5190960777129555	0.01332001332001332	0.014942649420228354	0.01051173717964625	0.01051173717964625	0.01051173717964625	0.26011399215034536
Bacteroidetes Unclassified	Kruskal-Wallis rank sum test	0	0	0	9.196247930844215e-5	0	0	0.5270892568655381	0.5270892568655381	0.19604614691757338	0.5270892568655381	0.5270892568655381	NA	0.18744811647085266	NA	NA	0.19604614691757338	NA	NA	0.18744811647085266	0.18744811647085266	NA
Betaproteobacteria Unclassified	Kruskal-Wallis rank sum test	0	0	0	0	0	0.008276623137759793	NA	NA	NA	NA	0.011423261423061128	NA	NA	NA	0.012401334680390263	NA	NA	0.021027484246608167	NA	0.011423261423061128	0.015438282585488395
Bifidobacteriaceae	Kruskal-Wallis rank sum test	0.011219422475629943	0.0020231745447857274	0	0	0	0	0.07210567210567209	0.006642730378160913	0.003339762274619878	0.006169801521751515	0.006169801521751515	0.007200793116110155	0.003339762274619878	0.006169801521751515	0.013084199843320694	NA	NA	0.5270892568655381	NA	0.45788868684602546	0.513257914973225
Burkholderiales Unclassified	Kruskal-Wallis rank sum test	0	0	0	0	0	0.025473606768438475	NA	NA	0.5270892568655381	NA	0.0023839077017563408	NA	0.5270892568655381	NA	0.0023839077017563408	0.5270892568655381	NA	0.005978457340344821	0.5270892568655381	0.0023839077017563408	0.003577713842801789
Clostridiales Unclassified	Kruskal-Wallis rank sum test	0	0	0	0.003034761817178591	0.0033106492551039177	3.678499172337686e-4	0.4931244198657414	0.5676345843167333	0.01238436359392577	0.01238436359392577	0.0702999781818796	NA	0.01238436359392577	0.01238436359392577	0.03830928956085173	0.020663619813360543	0.015056958449717207	0.0702999781818796	1	0.1755818116120952	0.1755818116120952
Deferribacteraceae	Kruskal-Wallis rank sum test	0	0	0	9.196247930844215e-5	9.196247930844215e-5	0	NA	NA	0.07912583675482054	0.07912583675482054	NA	NA	0.07912583675482054	0.07912583675482054	NA	0.11495022622158765	0.11563760905208482	NA	0.835356271677058	0.07912583675482054	0.07912583675482054
Deltaproteobacteria Unclassified	Kruskal-Wallis rank sum test	0	0	0	0	0	7.356998344675372e-4	NA	NA	NA	NA	0.031924407967376445	NA	NA	NA	0.031924407967376445	NA	NA	0.04519284311692259	NA	0.031924407967376445	0.03642357993767635
Enterobacteriaceae	Kruskal-Wallis rank sum test	0.6315983078903807	0.5926062166636012	0.011219422475629943	0.07127092146404268	0.2187787382747839	0.2451719698363068	0.8924408924408924	0.023310023310023312	0.002331002331002331	0.13542013542013545	0.054945054945054944	0.012626262626262628	0.002331002331002331	0.054945054945054944	0.04195804195804196	0.8924408924408924	0.33648170011806366	0.5439005439005439	0.054945054945054944	0.24079254079254075	1
Enterococcaceae	Kruskal-Wallis rank sum test	0	0	3.678499172337686e-4	0.0026669118999448223	0.012782784623873458	0.037244804119919074	NA	0.009840087847951285	0.0027812256520490645	0.009373114275124625	0.0027812256520490645	0.013872001075823913	0.0027812256520490645	0.009840087847951285	0.0027812256520490645	0.6079144110112806	0.3867414304808575	0.08514809620346796	0.26651126651126655	0.009840087847951285	0.041025641025641026
Eubacteriaceae	Kruskal-Wallis rank sum test	0	0	0	0	1.839249586168843e-4	0	NA	NA	NA	0.06405032047775494	NA	NA	NA	0.06593819729568379	NA	NA	0.1027889858240754	NA	0.06405032047775494	NA	0.06405032047775494
Lachnospiraceae	Kruskal-Wallis rank sum test	0.010943535037704616	0.0012874747103181902	3.678499172337686e-4	0.11164244988044877	0.048924038992091225	0.00846054809637668	0.5607160306265992	0.23419942579727887	0.01073692861951018	0.04200997335304835	0.5623719669710694	0.26010680002917486	0.01073692861951018	0.024136969754450482	0.4075924579177404	0.0210234743592925	0.024136969754450482	0.09985852089602633	0.17982017982017984	0.12179487179487178	0.4075924579177404
Lactobacillaceae	Kruskal-Wallis rank sum test	0.15753172705536142	0.19863895530623507	0.008644473054993563	0.06115504874011403	0.05499356262644841	0.051223100974802274	0.15073815073815075	0.004662004662004662	0.004662004662004662	0.058123694487330846	0.05687645687645687	0.006313131313131314	0.004662004662004662	0.015297202797202796	0.048174048174048176	0.004662004662004662	0.00927643784786642	0.004662004662004662	0.8518148518148518	0.7446655908194367	0.8518148518148518
Porphyromonadaceae	Kruskal-Wallis rank sum test	0.001103549751701306	3.678499172337686e-4	3.678499172337686e-4	0.12865550855251057	0.4517196983630679	0.31487952915210593	0.8733959205642876	0.6973936698657479	0.007688505513008508	0.007688505513008508	0.007688505513008508	1	0.007688505513008508	0.007688505513008508	0.007688505513008508	0.007688505513008508	0.01257705748408619	0.007688505513008508	0.06393606393606394	0.08857808857808856	0.5169830169830171
Proteobacteria Unclassified	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NA	NA	0.15847746102001525	NA	NA	NA	0.15847746102001525	NA	NA	0.16579019957505925	NA	NA	0.15847746102001525	0.15847746102001525	NA
Rhodospirillaceae	Kruskal-Wallis rank sum test	0	0	0	3.678499172337686e-4	0	0	NA	NA	0.031924407967376445	NA	NA	NA	0.031924407967376445	NA	NA	0.04519284311692259	NA	NA	0.03642357993767635	0.031924407967376445	NA
