genus	statistic	p.value	method	alternative	-1	0	p.value.adj
Lachnospiraceae Unclassified	496	9.313225746154776e-10	Wilcoxon signed rank test	two.sided	0.20696897601262557	0.017739858911757552	7.823109626770012e-8
Acetatifactor	493	1.6461662100094838e-6	Wilcoxon signed rank test with continuity correction	two.sided	0.00482951342948851	7.712982135546761e-5	3.635426650835066e-5
Akkermansia	495	1.3599904000824995e-6	Wilcoxon signed rank test with continuity correction	two.sided	0.05116673687458098	6.882353290180187e-4	3.635426650835066e-5
Clostridia Unclassified	406	3.89509998303757e-6	Wilcoxon signed rank test with continuity correction	two.sided	0.0011688134466943938	0	3.635426650835066e-5
Clostridiales Unclassified	485	3.5746561208365127e-6	Wilcoxon signed rank test with continuity correction	two.sided	0.025268916088687428	5.51774875850653e-4	3.635426650835066e-5
Clostridium XlVb	435	2.6360204878720324e-6	Wilcoxon signed rank test with continuity correction	two.sided	0.0013942698475796068	5.933063181189816e-6	3.635426650835066e-5
Enterobacteriaceae Unclassified	0	1.8242279994594811e-6	Wilcoxon signed rank test with continuity correction	two.sided	5.695740653942224e-4	0.45952167644633246	3.635426650835066e-5
Enterorhabdus	406	3.6940752046622203e-6	Wilcoxon signed rank test with continuity correction	two.sided	7.534990240111067e-4	0	3.635426650835066e-5
Oscillibacter	435	2.696938464796008e-6	Wilcoxon signed rank test with continuity correction	two.sided	0.0047998481135825615	1.779918954356945e-5	3.635426650835066e-5
Ruminococcaceae Unclassified	478	6.875230032692857e-6	Wilcoxon signed rank test with continuity correction	two.sided	0.021869270885865662	0.003381846013278195	5.775193227462e-5
Clostridium XlVa	421	1.126048957546638e-5	Wilcoxon signed rank test with continuity correction	two.sided	0.0025927486101799497	1.6019270589212503e-4	8.598919312174327e-5
Coriobacteriaceae Unclassified	276	2.7531443553849355e-5	Wilcoxon signed rank test with continuity correction	two.sided	5.280426231258936e-4	5.933063181189816e-5	1.927201048769455e-4
Firmicutes Unclassified	409	3.604343154934951e-5	Wilcoxon signed rank test with continuity correction	two.sided	0.0040878805318397835	4.50912801770426e-4	2.328960192419507e-4
Butyricicoccus	253	4.0808722248037594e-5	Wilcoxon signed rank test with continuity correction	two.sided	7.001014553803984e-4	1.1866126362379632e-5	2.3585391371767374e-4
