family	statistic	p.value	method	alternative	-1	0	p.value.adj
Lachnospiraceae	496	9.313225746154776e-10	Wilcoxon signed rank test	two.sided	0.15652013978296855	0.001103549751701306	4.749745130538936e-8
Porphyromonadaceae	479	1.9278377294540387e-7	Wilcoxon signed rank test	two.sided	0.46385874563178225	7.356998344675372e-4	4.915986210107798e-6
Coriobacteriaceae	465	1.7733873173911548e-6	Wilcoxon signed rank test with continuity correction	two.sided	0.001103549751701306	0	1.861878885488437e-5
Enterobacteriaceae	0	1.8253714563612127e-6	Wilcoxon signed rank test with continuity correction	two.sided	3.678499172337686e-4	0.6864079455582123	1.861878885488437e-5
Verrucomicrobiaceae	495	1.3599904000824995e-6	Wilcoxon signed rank test with continuity correction	two.sided	0.01839249586168843	0	1.861878885488437e-5
Clostridia Unclassified	406	3.89509998303757e-6	Wilcoxon signed rank test with continuity correction	two.sided	9.196247930844216e-4	0	2.8378585590702294e-5
Clostridiales Unclassified	485	3.5746561208365127e-6	Wilcoxon signed rank test with continuity correction	two.sided	0.01710502115137024	0	2.8378585590702294e-5
Firmicutes Unclassified	409	3.604343154934951e-5	Wilcoxon signed rank test with continuity correction	two.sided	0.002207099503402612	0	2.0424611211298057e-4
Ruminococcaceae	435	3.2525299900560174e-5	Wilcoxon signed rank test with continuity correction	two.sided	0.023358469744344308	0.0014713996689350744	2.0424611211298057e-4
Enterococcaceae	3	4.211677030672746e-5	Wilcoxon signed rank test with continuity correction	two.sided	0	0.015265771565201397	2.1479552856431002e-4
Lactobacillaceae	42	5.6448217508139625e-5	Wilcoxon signed rank test with continuity correction	two.sided	0.04598123965422108	0.13297774508000737	2.6171446299228375e-4
Rikenellaceae	248.5	7.985448415076501e-5	Wilcoxon signed rank test with continuity correction	two.sided	0.00809269817914291	0	3.3938155764075127e-4
Unclassified	411	2.5059750879080243e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.004598123965422108	0	9.831133037177633e-4
