genus	statistic	p.value	method	alternative	-1	0	p.value.adj
Acetatifactor	15	0.0579072654172973	Wilcoxon signed rank test with continuity correction	two.sided	0.00434062902335847	0	0.19078947368421054
Akkermansia	15	0.0625	Wilcoxon signed rank test	two.sided	0.046533014530071734	0	0.19078947368421054
Alistipes	15	0.0625	Wilcoxon signed rank test	two.sided	0.03461467721169763	0	0.19078947368421054
Butyricicoccus	15	0.05447403510619558	Wilcoxon signed rank test with continuity correction	two.sided	9.196247930844216e-4	0	0.19078947368421054
Clostridiales Unclassified	15	0.0625	Wilcoxon signed rank test	two.sided	0.010704432591502666	2.57494942063638e-4	0.19078947368421054
Clostridium XlVa	15	0.0625	Wilcoxon signed rank test	two.sided	0.0023174544785727427	0	0.19078947368421054
Clostridium XlVb	15	0.0625	Wilcoxon signed rank test	two.sided	0.003273864263380541	0	0.19078947368421054
Coriobacteriaceae Unclassified	15	0.0579072654172973	Wilcoxon signed rank test with continuity correction	two.sided	4.782048924038992e-4	0	0.19078947368421054
Desulfovibrionaceae Unclassified	15	0.0625	Wilcoxon signed rank test	two.sided	0.006952363435718227	0	0.19078947368421054
Enterobacteriaceae Unclassified	0	0.0625	Wilcoxon signed rank test	two.sided	0.0016553246275519587	0.5366930292440684	0.19078947368421054
Enterococcus	0	0.0625	Wilcoxon signed rank test	two.sided	2.2070995034026116e-4	0.0947581386794188	0.19078947368421054
Enterorhabdus	15	0.05447403510619558	Wilcoxon signed rank test with continuity correction	two.sided	6.989148427441604e-4	0	0.19078947368421054
Firmicutes Unclassified	15	0.0625	Wilcoxon signed rank test	two.sided	0.0025381644289130035	0	0.19078947368421054
Lachnospiraceae Unclassified	15	0.0625	Wilcoxon signed rank test	two.sided	0.15891116424498805	0.028545153577340443	0.19078947368421054
Mucispirillum	15	0.0625	Wilcoxon signed rank test	two.sided	0.01736251609343388	3.310649255103918e-4	0.19078947368421054
Porphyromonadaceae Unclassified	15	0.0625	Wilcoxon signed rank test	two.sided	0.4155968364907118	2.57494942063638e-4	0.19078947368421054
Pseudoflavonifractor	15	0.0625	Wilcoxon signed rank test	two.sided	0.0025749494206363803	0	0.19078947368421054
Ruminococcaceae Unclassified	15	0.0625	Wilcoxon signed rank test	two.sided	0.01993746551407026	0.001802464594445466	0.19078947368421054
Unclassified	15	0.0579072654172973	Wilcoxon signed rank test with continuity correction	two.sided	0.0030163693213169024	0	0.19078947368421054
Bacteroidales Unclassified	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	0.015780761449328672	0	0.2425082622838694
Bacteroidetes Unclassified	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	0.01640610630862608	0	0.2425082622838694
Clostridia Unclassified	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	0.0013978296854883208	0	0.2425082622838694
Erysipelotrichaceae Unclassified	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	3.3106492551039174e-4	7.356998344675372e-5	0.2425082622838694
Oscillibacter	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	0.0037520691557844394	0	0.2425082622838694
Bacteroides	14	0.125	Wilcoxon signed rank test	two.sided	0.03601250689718595	4.7820489240389924e-4	0.27884615384615385
Betaproteobacteria Unclassified	1	0.125	Wilcoxon signed rank test	two.sided	0.0019496045613389737	0.035791796946845686	0.27884615384615385
Odoribacter	6	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	0.0038624241309545707	0	0.3628984154428406
Parabacteroides	6	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	0.03615964686407945	2.57494942063638e-4	0.3628984154428406
Prevotellaceae Unclassified	6	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	0.0949052786463123	0	0.3628984154428406
Alishewanella	0	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	1.1035497517013058e-4	0.5978726508976794
Deltaproteobacteria Unclassified	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	1.839249586168843e-4	0	0.5978726508976794
Desulfovibrio	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	8.828398013610446e-4	0	0.5978726508976794
Dorea	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	1.1035497517013058e-4	0	0.5978726508976794
Eisenbergiella	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	1.1035497517013058e-4	0	0.5978726508976794
Prevotella	0	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	1.4713996689350744e-4	0.5978726508976794
