family	statistic	p.value	parameter	method	-1	0	1	p.value.adj
Peptostreptococcaceae	17.505126452494885	1.5805567299918518e-4	2	Kruskal-Wallis rank sum test	2.627499408812633e-5	0	0.08603089939304763	0.007270560957962518
Enterococcaceae	14.0500943717318	8.893255550187576e-4	2	Kruskal-Wallis rank sum test	0.005097348853096508	0.13668689841211454	0.04053246275519588	0.020454487765431423
Porphyromonadaceae	13.002232142857144	0.0015017621834549774	2	Kruskal-Wallis rank sum test	0.3894479623742085	5.211207160811722e-4	0.3048786095273129	0.023027020146309654
Firmicutes unclassified	12.209302325581385	0.002232459999367544	2	Kruskal-Wallis rank sum test	0.0018129745920807169	0	0	0.025673289992726757
Bacteroidetes unclassified	9.281767955801095	0.009649164208497462	2	Kruskal-Wallis rank sum test	0.011718647363304342	0	0	0.04829850180581284
Clostridia unclassified	9.281767955801095	0.009649164208497462	2	Kruskal-Wallis rank sum test	9.984497753488006e-4	0	0	0.04829850180581284
Coriobacteriaceae	10.024725274725272	0.006655160984882582	2	Kruskal-Wallis rank sum test	8.670748049081689e-4	0	6.897185948133162e-5	0.04829850180581284
Deferribacteraceae	8.92220172201722	0.011549641736172636	2	Kruskal-Wallis rank sum test	0.012401797209595628	3.6784991723376866e-4	0	0.04829850180581284
Desulfovibrionaceae	10.261199474682615	0.0059130131552696695	2	Kruskal-Wallis rank sum test	0.005596573740770908	0	2.2990619827110538e-5	0.04829850180581284
Rikenellaceae	9.157980177717027	0.010265258061779017	2	Kruskal-Wallis rank sum test	0.024751044431015005	0	0.01246091594629391	0.04829850180581284
Verrucomicrobiaceae	9.097744360902254	0.010579129006681079	2	Kruskal-Wallis rank sum test	0.04353766520402533	4.2915823677273007e-4	0.0060695236343571825	0.04829850180581284
Bacteroidales unclassified	7.3192137320044415	0.02574263104075734	2	Kruskal-Wallis rank sum test	0.011271972463806195	3.0654159769480714e-5	0	0.09868008565623647
Lachnospiraceae	6.882817821536947	0.03201954085714785	2	Kruskal-Wallis rank sum test	0.13568406947108438	0.023818282140886517	0.04660198638955306	0.11329991380221548
Unclassified	6.5726443768997065	0.03739111429630634	2	Kruskal-Wallis rank sum test	0.002154549515226359	0	6.667279749862056e-4	0.12285651840214938
Prevotellaceae	6.166885548908015	0.045801301352573806	2	Kruskal-Wallis rank sum test	0.06781575974145405	1.2261663907792289e-4	0	0.14045732414789303
Ruminococcaceae	5.766786179921778	0.055944615310163294	2	Kruskal-Wallis rank sum test	0.020809795317796052	0.0025749494206363803	0.007104101526577157	0.16084076901671948
Deltaproteobacteria unclassified	5.51931486880466	0.06331345365620267	2	Kruskal-Wallis rank sum test	0.0012349247221419375	0	0.0025289681809821593	0.17131875695207782
Burkholderiales unclassified	5.382807668521963	0.06778571264031685	2	Kruskal-Wallis rank sum test	0.00916997293675609	0.014805959168659188	0.03149714916314144	0.17323015452525417
Alteromonadaceae	5.249999999999986	0.07243975703425198	2	Kruskal-Wallis rank sum test	0	9.196247930844215e-5	0	0.17538046439871532
Betaproteobacteria unclassified	4.094525976840674	0.12908773514139285	2	Kruskal-Wallis rank sum test	0.0062534485929740665	0.03454723806020477	0.03538256391392312	0.2581754702827857
Enterobacteriaceae	4.181566970091024	0.12359026674890819	2	Kruskal-Wallis rank sum test	0.17168081137181743	0.44742811599534055	0.2611504506161486	0.2581754702827857
Erysipelotrichaceae	4.30443378764934	0.11622621078963738	2	Kruskal-Wallis rank sum test	7.094248403794109e-4	1.532707988474036e-4	0.013817362516093433	0.2581754702827857
Pseudomonadaceae	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	7.882498226437898e-5	0	0	0.2581754702827857
Clostridiales unclassified	3.9984978471820574	0.13543696855709564	2	Kruskal-Wallis rank sum test	0.007698573267821015	9.196247930844214e-4	0.001149530991355527	0.25958752306776667
Staphylococcaceae	3.421052631578963	0.18077062514096015	2	Kruskal-Wallis rank sum test	0	0	4.5981239654221075e-5	0.3326179502593667
Clostridiaceae 1	3.272058823529409	0.19475178829357592	2	Kruskal-Wallis rank sum test	0	3.0654159769480714e-5	6.897185948133162e-5	0.34456085621171123
Acidaminococcaceae	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	0	3.0654159769480714e-5	0	0.43930735518562064
Caulobacteraceae	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	0	3.0654159769480714e-5	0	0.43930735518562064
Chitinophagaceae	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	0	3.0654159769480714e-5	0	0.43930735518562064
Corynebacteriaceae	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	0	3.0654159769480714e-5	0	0.43930735518562064
Lactobacillaceae	2.3712121212121247	0.30556093492425324	2	Kruskal-Wallis rank sum test	0.04314354029270344	0.33658267426889826	0.08731837410336582	0.4534130002101822
Anaeroplasmataceae	1.9999999999999527	0.367879441171451	2	Kruskal-Wallis rank sum test	7.8824982264379e-5	0	0	0.4573636295645066
Clostridiales Incertae Sedis XIII	1.9999999999999527	0.367879441171451	2	Kruskal-Wallis rank sum test	2.627499408812633e-5	0	0	0.4573636295645066
Cytophagaceae	1.9999999999999527	0.367879441171451	2	Kruskal-Wallis rank sum test	2.627499408812633e-5	0	0	0.4573636295645066
Desulfovibrionales unclassified	1.9999999999999527	0.367879441171451	2	Kruskal-Wallis rank sum test	2.627499408812633e-5	0	0	0.4573636295645066
Micromonosporaceae	1.9999999999999527	0.367879441171451	2	Kruskal-Wallis rank sum test	2.627499408812633e-5	0	0	0.4573636295645066
Proteobacteria unclassified	1.9999999999999527	0.367879441171451	2	Kruskal-Wallis rank sum test	5.254998817625266e-5	0	0	0.4573636295645066
Bacillales unclassified	1.6249999999999811	0.443747310081084	2	Kruskal-Wallis rank sum test	0	0	2.2990619827110538e-5	0.48600895866023486
Bacilli unclassified	1.6249999999999811	0.443747310081084	2	Kruskal-Wallis rank sum test	0	0	2.2990619827110538e-5	0.48600895866023486
Bifidobacteriaceae	1.6249999999999811	0.443747310081084	2	Kruskal-Wallis rank sum test	0	0	0.001448409049107964	0.48600895866023486
Burkholderiaceae	1.6249999999999811	0.443747310081084	2	Kruskal-Wallis rank sum test	0	0	2.2990619827110538e-5	0.48600895866023486
Lactobacillales unclassified	1.7397660818713372	0.4190005522944585	2	Kruskal-Wallis rank sum test	0	6.130831953896143e-5	4.5981239654221075e-5	0.48600895866023486
Bacillaceae 1	1.3157894736842208	0.5179405887454257	2	Kruskal-Wallis rank sum test	2.627499408812633e-5	3.0654159769480714e-5	0	0.5294503796064352
Bacteroidaceae	1.3430693378268748	0.510923876821574	2	Kruskal-Wallis rank sum test	0.025749494206363802	6.130831953896144e-4	0.06090215192201582	0.5294503796064352
Fusobacteriaceae	1.3157894736842208	0.5179405887454257	2	Kruskal-Wallis rank sum test	2.627499408812633e-5	3.0654159769480714e-5	0	0.5294503796064352
Sutterellaceae	1.0791666666666702	0.5829911147386235	2	Kruskal-Wallis rank sum test	0	3.0654159769480714e-5	1.3794371896266324e-4	0.5829911147386235
Acetobacteraceae	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Actinomycetales unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Aerococcaceae	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Alphaproteobacteria unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bradyrhizobiaceae	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Brevibacteriaceae	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Burkholderiales incertae sedis	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Candidatus Saccharibacteria unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Catabacteriaceae	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridiales Incertae Sedis XI	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Coxiellaceae	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Cytophagales unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Dermabacteraceae	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Dermacoccaceae	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Dietziaceae	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Eubacteriaceae	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Flavobacteriaceae	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Gammaproteobacteria unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Geodermatophilaceae	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Gp2 unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Gp6 unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Labilitrichaceae	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Leuconostocaceae	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Listeriaceae	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Micrococcaceae	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Moraxellaceae	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Nocardiaceae	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Nocardiopsaceae	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Oxalobacteraceae	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Paenibacillaceae 1	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Phyllobacteriaceae	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Planococcaceae	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Rhizobiaceae	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Rhodobacteraceae	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Rhodospirillaceae	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Sphingobacteriaceae	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Sphingomonadaceae	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Sphingomonadales unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
