genus	statistic	p.value	parameter	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj
Burkholderiales Unclassified	16.438016528925612	0.005698667972978212	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.04980687879345227	0.06496481489195162
Clostridium sensu stricto	16.999999999999982	0.004499796977970585	5	Kruskal-Wallis rank sum test	0	0	0.0018392495861688431	0	0	0	0.06496481489195162
Escherichia/Shigella	16.999999999999982	0.004499796977970585	5	Kruskal-Wallis rank sum test	0	0	1.839249586168843e-4	0	0	0	0.06496481489195162
Proteus	16.999999999999982	0.004499796977970585	5	Kruskal-Wallis rank sum test	0	0	0	0	0.26430016553246277	0	0.06496481489195162
Rhodospirillaceae Unclassified	16.94117647058824	0.004612719118907275	5	Kruskal-Wallis rank sum test	0	0	0	0.009564097848077983	0	0	0.06496481489195162
Parabacteroides	15.360469380271358	0.008928196761807077	5	Kruskal-Wallis rank sum test	0	1.2261663907792286e-4	3.678499172337686e-4	0.08037520691557845	0.47507816810741216	0.3369873091778554	0.08481786923716723
Betaproteobacteria Unclassified	14.35610948191592	0.013498790259146572	5	Kruskal-Wallis rank sum test	0	3.0654159769480714e-5	0	0	0	0.023652749678131323	0.08502227312660207
Oscillibacter	14.111543450064849	0.014916188267824924	5	Kruskal-Wallis rank sum test	9.809331126233829e-4	0	0	0.004782048924038992	0	0	0.08502227312660207
Parasutterella	14.486381322957207	0.012797890677971047	5	Kruskal-Wallis rank sum test	6.130831953896143e-5	0	0.014346146772116977	0.034393967261357364	0	0	0.08502227312660207
Turicibacter	14.486308871851044	0.012798270519287624	5	Kruskal-Wallis rank sum test	0.025013794371896266	0.023603703022500155	0.03935994114401324	0	1.839249586168843e-4	0	0.08502227312660207
Mucispirillum	13.411572942135283	0.019812507077559004	5	Kruskal-Wallis rank sum test	6.130831953896143e-5	0	0	0.009564097848077983	0	0	0.10266480940189665
Bifidobacterium	13.159472693032013	0.02192929803326663	5	Kruskal-Wallis rank sum test	0.01581754644105205	0.04334498191404573	0	0	0	0.002354239470296119	0.10416416565801649
Butyricimonas	11.691176470588232	0.03927336907722924	5	Kruskal-Wallis rank sum test	0	0	1.839249586168843e-4	0.004322236527496782	0	0	0.14895226385264157
Clostridiales Unclassified	11.686176836861774	0.039350319531708526	5	Kruskal-Wallis rank sum test	0	3.0654159769480714e-5	0	0.00469008644473055	3.678499172337686e-4	0.004818833915762369	0.14895226385264157
Clostridium XVIII	11.568181818181817	0.04120849194955852	5	Kruskal-Wallis rank sum test	0	0	0.0027588743792532648	0.0010115872723928637	0.008828398013610447	0.0030531543130402797	0.14895226385264157
Peptostreptococcaceae Unclassified	11.530994152046773	0.04181116178319763	5	Kruskal-Wallis rank sum test	0.0014713996689350744	0.022254919992643	0.11679234872172153	8.276623137759794e-4	0.013610446937649439	0.046643369505241866	0.14895226385264157
Acetatifactor	10.642682329906998	0.058943306115688675	5	Kruskal-Wallis rank sum test	0	3.0654159769480714e-5	0	0.012690822144565017	0	2.57494942063638e-4	0.16623024854578294
Akkermansia	10.805847953216372	0.05536827029517104	5	Kruskal-Wallis rank sum test	0.20329838759119612	0.27619397952302127	0.04156704064741586	0.0351296670958249	0.10023910244620195	0.025013794371896266	0.16623024854578294
Clostridium XlVa	10.542575757575758	0.061242723148446344	5	Kruskal-Wallis rank sum test	0	6.130831953896144e-4	0	0.011311384954938386	0.013610446937649439	1.839249586168843e-4	0.16623024854578294
Enterococcus	10.76631426202321	0.05621527781430247	5	Kruskal-Wallis rank sum test	0	0.03062350560971124	0.0020231745447857274	0	0.017840720985837777	0.022880264851940408	0.16623024854578294
Unclassified	10.663035019455254	0.05848582637522484	5	Kruskal-Wallis rank sum test	1.2261663907792286e-4	0	0	0.001195512231009748	0	1.4713996689350744e-4	0.16623024854578294
Clostridium XlVb	9.350334119496853	0.09588031959335992	5	Kruskal-Wallis rank sum test	6.743915149285758e-4	0.0033719575746428794	0	0.0016553246275519589	0	0	0.23764580067245028
Lactobacillales Unclassified	9.350000000000017	0.09589216518362029	5	Kruskal-Wallis rank sum test	0	0	0	0	1.839249586168843e-4	3.678499172337686e-5	0.23764580067245028
Bilophila	8	0.15623562757772233	5	Kruskal-Wallis rank sum test	0	0	0	9.196247930844215e-5	0	0	0.26986153854333855
Blautia	8.350000000000012	0.13797220995424908	5	Kruskal-Wallis rank sum test	0	0	1.839249586168843e-4	0	0	2.942799337870149e-4	0.26986153854333855
Deltaproteobacteria Unclassified	8.753545232273824	0.11930749567144332	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.002133529519955858	0.26986153854333855
Dorea	8	0.15623562757772233	5	Kruskal-Wallis rank sum test	0	0	0	1.839249586168843e-4	0	0	0.26986153854333855
Eisenbergiella	8	0.15623562757772233	5	Kruskal-Wallis rank sum test	0	0	0	2.758874379253265e-4	0	0	0.26986153854333855
Oxalobacteraceae Unclassified	8	0.15623562757772233	5	Kruskal-Wallis rank sum test	0	0	0	1.839249586168843e-4	0	0	0.26986153854333855
Porphyromonadaceae Unclassified	8.834767401189222	0.11583902102505893	5	Kruskal-Wallis rank sum test	0.16914965360799458	2.4523327815584577e-4	3.678499172337686e-4	0.020323707927165716	0	0.0060695236343571825	0.26986153854333855
Proteobacteria Unclassified	8	0.15623562757772233	5	Kruskal-Wallis rank sum test	0	0	0	7.356998344675372e-4	0	0	0.26986153854333855
Pseudoflavonifractor	8.045434782608682	0.15374934005872856	5	Kruskal-Wallis rank sum test	0.0025749494206363803	9.196247930844216e-4	0	0.0020231745447857274	0	1.4713996689350744e-4	0.26986153854333855
