family	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	Young-Schloss	Jackson-Schloss	Charles River-Schloss	Taconic-Schloss	Envigo-Schloss	Jackson-Young	Charles River-Young	Taconic-Young	Envigo-Young	Charles River-Jackson	Taconic-Jackson	Envigo-Jackson	Taconic-Charles River	Envigo-Charles River	Envigo-Taconic
Bacteroidaceae	Kruskal-Wallis rank sum test	7.356998344675372e-4	9.196247930844216e-4	0.6529336030899393	0.5442339525473607	0.0014713996689350744	5.51774875850653e-4	0.6434639162131692	0.004662004662004662	0.6227354832591034	0.8703152268348472	0.6434639162131692	0.006982292036812512	0.6227354832591034	0.6227354832591034	0.6434639162131692	0.6227354832591034	0.015965019558609767	0.011940285121212636	0.6434639162131692	0.6227354832591034	0.6227354832591034
Betaproteobacteria Unclassified	Kruskal-Wallis rank sum test	0	0	0	0	0	0.032094905278646314	NA	NA	NA	NA	0.00242348739726169	NA	NA	NA	0.0019501063995788902	NA	NA	0.0019501063995788902	NA	0.005494110875631204	0.005494110875631204
Burkholderiales Unclassified	Kruskal-Wallis rank sum test	0	0	0	0	0	0.004414199006805224	NA	NA	NA	NA	0.00242348739726169	NA	NA	NA	0.0019501063995788902	NA	NA	0.0019501063995788902	NA	0.005494110875631204	0.005494110875631204
Deferribacteraceae	Kruskal-Wallis rank sum test	0	0	0	0.0018392495861688431	0.012322972227331249	0	1	1	0.010391122432612785	0.009718751231697001	0.5235990720816717	1	0.009718751231697001	0.009718751231697001	0.4847258188341551	0.009718751231697001	0.009718751231697001	0.5235990720816717	0.2374278289901646	0.05931266819976932	0.014154898152988718
Enterobacteriaceae	Kruskal-Wallis rank sum test	0.8942431487952915	0.7611734412359757	0.14199006805223469	0.22236527496781314	0.5663049475813867	0.4908037520691558	0.00946969696969697	0.00946969696969697	0.00946969696969697	0.03787878787878789	0.020396270396270396	0.00946969696969697	0.018648018648018648	0.3333333333333333	0.3980634749865519	0.37035567409912523	0.04327692274567088	0.22867609959946383	0.3869047619047619	0.7922077922077921	0.7096474953617811
Enterococcaceae	Kruskal-Wallis rank sum test	0	0	0.059499724112562075	0.0069891484274416035	0.047820489240389924	0.10060695236343573	0.7772974107895215	0.008842540528424377	0.05050505050505051	0.05050505050505051	0.009576847468371088	0.008842540528424377	0.05050505050505051	0.05050505050505051	0.009130076254574564	0.19114219114219114	0.7758907758907758	0.287483813748377	0.287483813748377	0.05050505050505051	0.287483813748377
Lachnospiraceae	Kruskal-Wallis rank sum test	5.51774875850653e-4	4.598123965422108e-4	5.51774875850653e-4	0.010667647599779291	0.0062534485929740665	6.437373551590951e-4	0.9521173592265316	0.9521173592265316	0.026743487613602717	0.047107648954320847	0.9521173592265316	0.9521173592265316	0.026743487613602717	0.0458135756193484	0.9521173592265316	0.026743487613602717	0.047107648954320847	0.9521173592265316	0.5236668487896801	0.5236668487896801	0.5236668487896801
Lactobacillaceae	Kruskal-Wallis rank sum test	0.08754828030163693	0.232113297774508	0.013058672061798787	0.13923119367298142	0.15652013978296855	0.31331616700386244	0.004662004662004662	0.02007263868242737	0.37878787878787884	0.9031877213695395	1	0.006982292036812512	0.02007263868242737	0.4739704739704739	1	0.02007263868242737	0.07188118792148918	0.05928567842088874	1	1	0.9031877213695395
Porphyromonadaceae	Kruskal-Wallis rank sum test	3.678499172337686e-4	7.356998344675372e-4	2.758874379253265e-4	0.0071730733860584876	0.0038624241309545703	3.678499172337686e-4	0.2671693383488219	1	0.08215344532300396	0.08215344532300396	0.8280228577473974	0.08215344532300396	0.05720747273408581	0.08215344532300396	0.3576650547398716	0.05720747273408581	0.0604832483090217	0.7381135663518784	0.9820314050137943	0.06132981185343706	0.08215344532300396
Sutterellaceae	Kruskal-Wallis rank sum test	0	0	0.011679234872172154	0.07540923303292256	0	0	0.5379539125808087	0.009066339932350526	0.009066339932350526	NA	0.4963552716829019	0.009066339932350526	0.009066339932350526	0.5676345843167333	0.9154002076734721	0.0459293792627126	0.015497714860020407	0.014989915033870498	0.014989915033870498	0.014989915033870498	0.5427436215274987
