genus	statistic	p.value	parameter	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj
Deltaproteobacteria Unclassified	37.5274700429573	4.6945180063428355e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0052549988176252655	3.286162604439985e-5
Burkholderiales Unclassified	34.403902439024414	1.9783870458449157e-6	5	Kruskal-Wallis rank sum test	0	0	0	0	3.678499172337686e-5	0.020941170288236687	4.616236440304803e-5
Parasutterella	34.703234189678085	1.7244039303359587e-6	5	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0.022144565017472872	0.017840720985837777	0	0	4.616236440304803e-5
Parabacteroides	33.18841714383598	3.452724042947721e-6	5	Kruskal-Wallis rank sum test	2.4523327815584577e-4	1.1495309913555268e-4	1.1035497517013058e-4	0.07175372448041199	0.18646312304579732	0.4133844819884916	6.042267075158512e-5
Rhodospirillaceae Unclassified	31.803204113924036	6.498858425062637e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.010644656979952179	0	0	9.098401795087692e-5
Bifidobacterium	31.171835400827028	8.663149368781248e-6	5	Kruskal-Wallis rank sum test	0.004352890687266262	0.01574857458157072	0	0	0	5.51774875850653e-4	9.436905642824306e-5
Mucispirillum	30.98370334813394	9.436905642824306e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.007563913923119368	0.026669118999448224	0.0020231745447857274	9.436905642824306e-5
Anaerostipes	29.423649635036483	1.914634861535845e-5	5	Kruskal-Wallis rank sum test	0	0	0	0	0.015964686407945558	0	1.6753055038438644e-4
Proteus	28.24230429191449	3.263624616600982e-5	5	Kruskal-Wallis rank sum test	0	0	3.678499172337686e-5	3.2186867757954754e-4	0.09839985286003311	0	2.538374701800764e-4
Turicibacter	27.640417165017592	4.278886827284801e-5	5	Kruskal-Wallis rank sum test	0.009410827049230581	0.00986297590583042	0.033731837410336585	2.528968180982159e-4	0.0033474342468272945	0	2.99522077909936e-4
Betaproteobacteria Unclassified	25.400634158882546	1.1658161292994515e-4	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0030741743083107804	7.418829913723782e-4
Alistipes	24.80132953884649	1.5219448084927332e-4	5	Kruskal-Wallis rank sum test	0	2.528968180982159e-4	0	0.007058120286922935	3.678499172337686e-5	0.04724243937045114	8.878011382874276e-4
Clostridium XVIII	23.307650793650797	2.947791156240482e-4	5	Kruskal-Wallis rank sum test	0	0	0.03877138127643921	0.002345043222365275	0.014530071730733861	0.0078036732441735205	0.0015872721610525674
Enterococcus	22.762471709759268	3.7474661420757946e-4	5	Kruskal-Wallis rank sum test	0	9.196247930844215e-5	0.003421004230274048	1.839249586168843e-4	0.011771197351480595	0.0031529992905751595	0.0018737330710378972
Butyricicoccus	22.08486209428776	5.045014273149053e-4	5	Kruskal-Wallis rank sum test	0.0011648580712402673	7.816810741217583e-4	0	3.678499172337686e-4	0	1.0509997635250532e-4	0.002354339994136225
Roseburia	21.53100629874025	6.427271005015402e-4	5	Kruskal-Wallis rank sum test	0	0	0	3.448592974066581e-4	0	0	0.0028119310646942384
Oscillibacter	18.6664517381756	0.002217324807722169	5	Kruskal-Wallis rank sum test	7.356998344675372e-4	2.528968180982159e-4	3.678499172337686e-4	0.0028968180982159282	0.011587272392863713	2.627499408812633e-5	0.009130160972973637
Unclassified	18.108379946306243	0.002813596910490925	5	Kruskal-Wallis rank sum test	0.0014713996689350744	0	1.1035497517013058e-4	0.005241861320581203	0.0053706087916130215	3.6784991723376866e-4	0.010941765763020264
Blautia	17.734888174207676	0.0032976895198580363	5	Kruskal-Wallis rank sum test	0	0	0.0015449696523818282	0	0.005812028692293545	0.011140597493365564	0.012142811685310867
Dorea	17.615228013029316	0.003469374767231676	5	Kruskal-Wallis rank sum test	0	0	4.414199006805224e-4	4.5981239654221075e-5	9.931947765311753e-4	0	0.012142811685310867
Bilophila	16.767153284671554	0.00496323770731288	5	Kruskal-Wallis rank sum test	0	0	0	0.00977101342652198	0	0	0.015105506065734853
Butyricimonas	16.767153284671554	0.00496323770731288	5	Kruskal-Wallis rank sum test	0	0	0	0.020645576604745263	0	0	0.015105506065734853
Oxalobacteraceae Unclassified	16.77327491785325	0.0049504774799517485	5	Kruskal-Wallis rank sum test	0	0	0	3.2186867757954754e-4	0	0	0.015105506065734853
Bacteroides	15.741498806867005	0.007622199448336342	5	Kruskal-Wallis rank sum test	0.34623873459628474	0.47526209306602907	0.6114033474342468	0.425947213536877	3.3106492551039174e-4	0.04973856380882315	0.022231415057647662
Clostridium XlVa	14.611679523467313	0.01215705652820263	5	Kruskal-Wallis rank sum test	6.437373551590951e-4	0.0010115872723928637	1.1035497517013058e-4	0.00809269817914291	0.053411807982343205	0.002207099503402612	0.03403975827896736
Akkermansia	14.017645896297568	0.015497714710111356	5	Kruskal-Wallis rank sum test	0.23652749678131324	0.19834007724848263	0.08015449696523819	0.04798142357917969	0.18359389369137394	0.08505215586326492	0.034069009156480035
Anaerofustis	13.957894736842242	0.015879097969798292	5	Kruskal-Wallis rank sum test	0	0	0	0	1.4713996689350744e-4	0	0.034069009156480035
Asaccharobacter	13.929866526694626	0.0160611043166263	5	Kruskal-Wallis rank sum test	0	0	0	3.2186867757954754e-4	3.678499172337686e-5	0	0.034069009156480035
Clostridiales Unclassified	13.996371575375788	0.015632480765709368	5	Kruskal-Wallis rank sum test	4.2915823677273007e-4	0.002643921280117712	0.0013610446937649438	0.012644840904910797	0.010042302740481884	0.0030741743083107804	0.034069009156480035
Enterobacteriaceae Unclassified	14.382349392939155	0.01335469001365048	5	Kruskal-Wallis rank sum test	0.04579731469560419	0.08662865550855252	0.11072282508736435	0.014231193672981424	0.0037152841640610635	0.10483722641162406	0.034069009156480035
Lactobacillaceae Unclassified	13.967567567567713	0.01581674894505342	5	Kruskal-Wallis rank sum test	0	0	0	0	7.356998344675372e-5	0	0.034069009156480035
Olsenella	14.020183251433293	0.015481716439156374	5	Kruskal-Wallis rank sum test	1.532707988474036e-4	9.196247930844215e-5	3.678499172337686e-5	0	0	0	0.034069009156480035
Prevotellaceae Unclassified	13.967567567567713	0.01581674894505342	5	Kruskal-Wallis rank sum test	0	0	0	0	7.356998344675372e-5	0	0.034069009156480035
Bacteroidetes Unclassified	13.337438423645317	0.020413684980926775	5	Kruskal-Wallis rank sum test	0	0	0	0.010414750781681074	0	0.0012874747103181902	0.04202817496073159
Acetatifactor	13.248707497809106	0.02115630719320891	5	Kruskal-Wallis rank sum test	3.065415976948072e-4	4.1383115688798966e-4	0	0.002299061982711054	0.0027588743792532648	5.780498699387793e-4	0.04231261438641782
Erysipelotrichaceae Unclassified	12.846432204763605	0.02486116063352041	5	Kruskal-Wallis rank sum test	1.2261663907792286e-4	1.839249586168843e-4	0.0036784991723376862	6.437373551590951e-4	0.0011771197351480595	7.094248403794109e-4	0.048341145676289686
Porphyromonadaceae Unclassified	12.55600011720408	0.0279145044998948	5	Kruskal-Wallis rank sum test	0.23183741033658267	0.03880816626816259	9.196247930844216e-4	0.09777910612470113	6.989148427441604e-4	0.04708478940592238	0.052811224729530704
Firmicutes Unclassified	12.412475508987152	0.029552793924603797	5	Kruskal-Wallis rank sum test	6.130831953896143e-5	2.299061982711054e-4	0	0.002804855618907486	0.006143093617803936	1.3137497044063165e-4	0.05443935722953331
Eisenbergiella	12.25337837837835	0.031476108811778154	5	Kruskal-Wallis rank sum test	0	0	0	1.3794371896266324e-4	0	0	0.05649557991857618
Coriobacteriaceae Unclassified	10.902329769793807	0.05335125682882877	5	Kruskal-Wallis rank sum test	9.196247930844216e-5	1.6093433878977377e-4	0	2.299061982711054e-4	0	2.627499408812633e-5	0.09336469945045034
Lactobacillus	10.64516398420894	0.05888734528444805	5	Kruskal-Wallis rank sum test	0.043682177671510024	0.08715743976457606	0.029317638403531358	0.06600606952363436	0.14004046349089572	0.088809480017867	0.10053936999783813
