genus	statistic	p.value	method	alternative	-1	0	p.value.adj
Akkermansia	15	0.0625	Wilcoxon signed rank test	two.sided	0.020231745447857274	0.003494574213720802	0.26875
Bacteroides	0	0.0579072654172973	Wilcoxon signed rank test with continuity correction	two.sided	1.839249586168843e-4	0.001066764759977929	0.26875
Clostridia Unclassified	15	0.0579072654172973	Wilcoxon signed rank test with continuity correction	two.sided	0.0021703145116792346	0	0.26875
Clostridium XlVb	15	0.0579072654172973	Wilcoxon signed rank test with continuity correction	two.sided	0.0014713996689350744	3.678499172337686e-5	0.26875
Coriobacteriaceae Unclassified	15	0.0579072654172973	Wilcoxon signed rank test with continuity correction	two.sided	5.14989884127276e-4	0	0.26875
Enterobacteriaceae Unclassified	0	0.0625	Wilcoxon signed rank test	two.sided	1.839249586168843e-4	0.002170314511679235	0.26875
Enterorhabdus	15	0.0579072654172973	Wilcoxon signed rank test with continuity correction	two.sided	4.0463490895714546e-4	0	0.26875
Lachnospiraceae Unclassified	15	0.0625	Wilcoxon signed rank test	two.sided	0.4313040279565937	0.0680522346882472	0.26875
Oscillibacter	15	0.0625	Wilcoxon signed rank test	two.sided	0.0055177487585065296	7.356998344675372e-5	0.26875
Proteus	0	0.0625	Wilcoxon signed rank test	two.sided	6.253448592974066e-4	0.5392311936729814	0.26875
Eisenbergiella	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	0.006731653485377966	0	0.33192112291373105
Enterococcus	0	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	3.678499172337686e-5	0.05510391760161854	0.33192112291373105
Pseudoflavonifractor	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	0.0032370792716571637	3.678499172337686e-5	0.33192112291373105
Acetatifactor	14	0.125	Wilcoxon signed rank test	two.sided	0.0028324443627000184	1.4713996689350744e-4	0.3359375
Parabacteroides	14	0.125	Wilcoxon signed rank test	two.sided	0.32727607136288395	0.1092146404267059	0.3359375
Ruminococcaceae Unclassified	14	0.125	Wilcoxon signed rank test	two.sided	0.030568328122126173	0.012985102078352032	0.3359375
Clostridiales Unclassified	13	0.1875	Wilcoxon signed rank test	two.sided	0.029060143461467722	0.0030899393047636565	0.44791666666666663
Lactobacillus	2	0.1875	Wilcoxon signed rank test	two.sided	0.0759977929004966	0.16829133713444916	0.44791666666666663
Blautia	8.5	0.2652053925915076	Wilcoxon signed rank test with continuity correction	two.sided	3.3106492551039174e-4	3.678499172337686e-5	0.600201677970254
Dorea	12	0.3125	Wilcoxon signed rank test	two.sided	0.002207099503402612	4.782048924038992e-4	0.6398809523809523
Mucispirillum	12	0.3125	Wilcoxon signed rank test	two.sided	0.037005701673717126	0.016332536325179326	0.6398809523809523
Butyricicoccus	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	3.310649255103918e-4	0	0.6937832560641737
Erysipelotrichaceae Unclassified	8	0.36131042852617873	Wilcoxon signed rank test with continuity correction	two.sided	5.885598675740298e-4	2.57494942063638e-4	0.6937832560641737
Firmicutes Unclassified	11	0.4375	Wilcoxon signed rank test	two.sided	0.008534118079823433	0.002538164428913003	0.7525
Unclassified	11	0.4375	Wilcoxon signed rank test	two.sided	0.008019128195696156	0.0030899393047636565	0.7525
Alishewanella	1	1	Wilcoxon signed rank test with continuity correction	two.sided	3.678499172337686e-5	0	1
Alistipes	1	1	Wilcoxon signed rank test with continuity correction	two.sided	3.678499172337686e-5	1.4713996689350744e-4	1
Anaeroplasma	0	1	Wilcoxon signed rank test with continuity correction	two.sided	0	0.0022438844951259886	1
Anaerostipes	1	1	Wilcoxon signed rank test with continuity correction	two.sided	3.678499172337686e-5	0	1
Bacilli Unclassified	0	1	Wilcoxon signed rank test with continuity correction	two.sided	0	3.678499172337686e-5	1
Bacteroidales Unclassified	0	1	Wilcoxon signed rank test with continuity correction	two.sided	0	2.207099503402612e-4	1
Chitinophagaceae Unclassified	0	1	Wilcoxon signed rank test with continuity correction	two.sided	0	3.678499172337686e-5	1
Cloacibacterium	1	1	Wilcoxon signed rank test with continuity correction	two.sided	3.678499172337686e-5	0	1
Clostridium IV	10	0.625	Wilcoxon signed rank test	two.sided	0.0028324443627000184	0.009233032922567592	1
Clostridium XlVa	4.5	1	Wilcoxon signed rank test with continuity correction	two.sided	2.57494942063638e-4	2.942799337870149e-4	1
Clostridium XVIII	6	0.8551321405847059	Wilcoxon signed rank test with continuity correction	two.sided	7.72484826190914e-4	0.001361044693764944	1
Geobacillus	0	1	Wilcoxon signed rank test with continuity correction	two.sided	0	3.678499172337686e-5	1
Porphyromonadaceae Unclassified	4.5	1	Wilcoxon signed rank test with continuity correction	two.sided	4.414199006805223e-4	4.7820489240389924e-4	1
Prevotella	1	1	Wilcoxon signed rank test with continuity correction	two.sided	3.678499172337686e-5	0	1
Prevotellaceae Unclassified	1	1	Wilcoxon signed rank test with continuity correction	two.sided	3.678499172337686e-5	0	1
Pseudomonadaceae Unclassified	0	1	Wilcoxon signed rank test with continuity correction	two.sided	0	3.678499172337686e-5	1
Ruminococcus	0	1	Wilcoxon signed rank test with continuity correction	two.sided	0	7.356998344675372e-5	1
Turicibacter	3.5	1	Wilcoxon signed rank test with continuity correction	two.sided	1.1035497517013058e-4	7.356998344675372e-5	1
Acetitomaculum	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Acidaminococcus	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Acinetobacter	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Actinomycetales Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Adhaeribacter	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Alphaproteobacteria Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Anaerococcus	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Anaerofustis	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Anaerotruncus	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Anaerovorax	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Aquabacterium	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Asaccharobacter	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Bacillales Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Bacillus	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Bacteroidetes Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Barnesiella	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Betaproteobacteria Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Bifidobacterium	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Bilophila	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Brachybacterium	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Bradyrhizobium	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Brevibacterium	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Brevundimonas	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Burkholderia	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Burkholderiales Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Butyricimonas	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Candidatus Saccharibacteria Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Catabacter	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Chryseobacterium	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Clostridium sensu stricto	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Corynebacterium	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Cytophagales Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Dactylosporangium	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Deltaproteobacteria Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Desulfovibrio	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Desulfovibrionaceae Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Desulfovibrionales Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Dietzia	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Diplorickettsia	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
