family	statistic	p.value	parameter	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj
Burkholderiales Unclassified	37.19635834513134	5.470385828046244e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.025473606768438475	1.9438275582453067e-5
Sutterellaceae	36.107061959919086	9.041058410443287e-7	5	Kruskal-Wallis rank sum test	0	0	0.03512966709582491	0.04073937833363987	0	0	1.9438275582453067e-5
Bifidobacteriaceae	34.67302141491685	1.7484931590175606e-6	5	Kruskal-Wallis rank sum test	0.011219422475629943	0.0020231745447857274	0	0	0	0	2.5061735279251702e-5
Enterococcaceae	31.20143408834505	8.54729149359491e-6	5	Kruskal-Wallis rank sum test	0	0	3.678499172337686e-4	0.0026669118999448223	0.012782784623873458	0.037244804119919074	7.350670684491623e-5
Porphyromonadaceae	31.214786272985993	8.495532243053646e-6	5	Kruskal-Wallis rank sum test	0.001103549751701306	3.678499172337686e-4	3.678499172337686e-4	0.12865550855251057	0.4517196983630679	0.31487952915210593	7.350670684491623e-5
Betaproteobacteria Unclassified	28.81929555895862	2.5159051268959338e-5	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.008276623137759793	1.803065340942086e-4
Bacteroidaceae	25.75198483600376	9.968143395450587e-5	5	Kruskal-Wallis rank sum test	0.0020231745447857274	0.0018392495861688431	0.7544601802464594	0.41281956961559685	3.678499172337686e-4	0.001103549751701306	4.762557400048614e-4
Clostridiales Unclassified	25.98536451258168	8.982108881912188e-5	5	Kruskal-Wallis rank sum test	0	0	0	0.003034761817178591	0.0033106492551039177	3.678499172337686e-4	4.762557400048614e-4
Lactobacillaceae	26.274837842113612	7.892367894659678e-5	5	Kruskal-Wallis rank sum test	0.15753172705536142	0.19863895530623507	0.008644473054993563	0.06115504874011403	0.05499356262644841	0.051223100974802274	4.762557400048614e-4
Deltaproteobacteria Unclassified	23.426696542893694	2.797011519198598e-4	5	Kruskal-Wallis rank sum test	0	0	0	0	0	7.356998344675372e-4	0.0010933772302321792
Rhodospirillaceae	23.426696542893694	2.797011519198598e-4	5	Kruskal-Wallis rank sum test	0	0	0	3.678499172337686e-4	0	0	0.0010933772302321792
Enterobacteriaceae	22.84098243948742	3.62030394450798e-4	5	Kruskal-Wallis rank sum test	0.6315983078903807	0.5926062166636012	0.011219422475629943	0.07127092146404268	0.2187787382747839	0.2451719698363068	0.0011974851508757163
Lachnospiraceae	22.95764910438758	3.4391733109544697e-4	5	Kruskal-Wallis rank sum test	0.010943535037704616	0.0012874747103181902	3.678499172337686e-4	0.11164244988044877	0.048924038992091225	0.00846054809637668	0.0011974851508757163
Eubacteriaceae	18.899999999999984	0.002006333257107833	5	Kruskal-Wallis rank sum test	0	0	0	0	1.839249586168843e-4	0	0.006162309289688345
Deferribacteraceae	16.254313385927794	0.006154288131732257	5	Kruskal-Wallis rank sum test	0	0	0	9.196247930844215e-5	9.196247930844215e-5	0	0.017642292644299135
Bacteroidetes Unclassified	14.517110997180234	0.012637763292207824	5	Kruskal-Wallis rank sum test	0	0	0	9.196247930844215e-5	0	0	0.033963988847808525
Verrucomicrobiaceae	13.694093499665097	0.017673901162658975	5	Kruskal-Wallis rank sum test	0.02823248114769174	0.015633621482435165	1.839249586168843e-4	0.011403347434246827	0.06694868493654589	0.001103549751701306	0.044704573529078584
Proteobacteria Unclassified	13.382060138155172	0.020049765802288667	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.04789666274991181
Rikenellaceae	12.621391995932587	0.02719721640466811	5	Kruskal-Wallis rank sum test	0	0	0	5.51774875850653e-4	0	0	0.061551595021090984
Firmicutes Unclassified	11.316680342815461	0.045450359552544235	5	Kruskal-Wallis rank sum test	0	0	0	9.196247930844215e-5	0	0	0.09771827303797011
Peptostreptococcaceae	10.093095907528904	0.0726399825121781	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.14197814763743902
Ruminococcaceae	10.152010579852055	0.07104090421632236	5	Kruskal-Wallis rank sum test	0.0066212985102078355	0.0016553246275519589	0	0.01618539635828582	0.00809269817914291	0.006713260989516277	0.14197814763743902
Anaeroplasmataceae	8.785317621563047	0.11793964205763864	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.21696336659464552
Oxalobacteraceae	8.712499999999899	0.12109583251794168	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.21696336659464552
Unclassified	8.33679829543896	0.13862487071375437	5	Kruskal-Wallis rank sum test	0	0	0	0	1.839249586168843e-4	0	0.23843477762765752
Clostridiaceae 1	7.760263157894738	0.16995232457002835	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.28107499832735455
Coriobacteriaceae	7.156158067482817	0.2092832871584286	5	Kruskal-Wallis rank sum test	0	1.839249586168843e-4	0	1.839249586168843e-4	0	0	0.3333030128819418
Pseudomonadaceae	5.842500000000009	0.3218473167155165	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.4942655220988289
Actinomycetales Unclassified	5.000000000000084	0.41588018699549767	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5390855909075479
Bacillaceae 1	4.249999999999847	0.5140118424932434	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5390855909075479
Bacillales Unclassified	4.249999999999847	0.5140118424932434	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5390855909075479
Bacilli Unclassified	4.249999999999847	0.5140118424932434	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5390855909075479
Burkholderiaceae	4.249999999999847	0.5140118424932434	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5390855909075479
Caulobacteraceae	4.249999999999847	0.5140118424932434	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5390855909075479
Clostridia Unclassified	4.271849593495903	0.5109762785315304	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5390855909075479
Desulfovibrionaceae	4.640335609407815	0.4613293119463827	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5390855909075479
Lactobacillales Unclassified	4.859005102040848	0.43332878525769897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5390855909075479
Listeriaceae	4.249999999999847	0.5140118424932434	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5390855909075479
Moraxellaceae	4.249999999999847	0.5140118424932434	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5390855909075479
Prevotellaceae	5.000000000000084	0.41588018699549767	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5390855909075479
Staphylococcaceae	5.097297297297312	0.4041217619593606	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5390855909075479
Streptococcaceae	3.7349738675959085	0.5881680421918126	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.6021720431963795
Erysipelotrichaceae	1.2644074861949974	0.9385511525800235	5	Kruskal-Wallis rank sum test	0.003678499172337686	0.002391024462019496	0.004046349089571455	0.0038624241309545707	0.006437373551590951	0.0038624241309545703	0.9385511525800235
Acetobacteraceae	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
