genus	statistic	p.value	method	alternative	-1	0	p.value.adj
Acetatifactor	28	0.015625000000000003	Wilcoxon signed rank test	two.sided	0.008066423185054784	2.627499408812633e-5	0.06718750000000001
Akkermansia	28	0.015625000000000003	Wilcoxon signed rank test	two.sided	0.10646627604508789	1.8392495861688433e-4	0.06718750000000001
Alistipes	28	0.015625000000000003	Wilcoxon signed rank test	two.sided	0.1425943929162616	2.627499408812633e-5	0.06718750000000001
Clostridiales Unclassified	28	0.015625000000000003	Wilcoxon signed rank test	two.sided	0.02448829449013374	0	0.06718750000000001
Enterobacteriaceae Unclassified	0	0.015625000000000003	Wilcoxon signed rank test	two.sided	4.992248876744003e-4	0.7466039570141096	0.06718750000000001
Enterorhabdus	28	0.015625000000000003	Wilcoxon signed rank test	two.sided	0.0014976746630232008	0	0.06718750000000001
Firmicutes Unclassified	28	0.015625000000000003	Wilcoxon signed rank test	two.sided	0.0018655245802569693	2.627499408812633e-5	0.06718750000000001
Lachnospiraceae Unclassified	28	0.015625000000000003	Wilcoxon signed rank test	two.sided	0.1617488636065057	7.356998344675372e-4	0.06718750000000001
Lactobacillus	0	0.015625000000000003	Wilcoxon signed rank test	two.sided	0.0631650857878557	0.24196642055755538	0.06718750000000001
Oscillibacter	28	0.015625000000000003	Wilcoxon signed rank test	two.sided	0.004992248876744002	0	0.06718750000000001
Anaeroplasma	28	0.02201493444367288	Wilcoxon signed rank test with continuity correction	two.sided	0.0011560997398775586	0	0.07974394728277194
Ruminococcaceae Unclassified	28	0.022254124823099145	Wilcoxon signed rank test with continuity correction	two.sided	0.0227541448803174	2.3647494679313697e-4	0.07974394728277194
Bifidobacterium	21	0.036031686218233556	Wilcoxon signed rank test with continuity correction	two.sided	0.007961323208702279	0	0.09113897102259076
Clostridia Unclassified	21	0.034006402864386984	Wilcoxon signed rank test with continuity correction	two.sided	4.992248876744003e-4	0	0.09113897102259076
Clostridium XlVa	21	0.0355223366234146	Wilcoxon signed rank test with continuity correction	two.sided	0.002496124438372001	2.627499408812633e-5	0.09113897102259076
Coriobacteriaceae Unclassified	21	0.036031686218233556	Wilcoxon signed rank test with continuity correction	two.sided	0.001103549751701306	2.101999527050106e-4	0.09113897102259076
Turicibacter	27	0.03125000000000001	Wilcoxon signed rank test	two.sided	0.03055781812449092	0.0013925746866706955	0.09113897102259076
Erysipelotrichaceae Unclassified	26.5	0.042153450235705485	Wilcoxon signed rank test with continuity correction	two.sided	0.0027588743792532648	2.3647494679313697e-4	0.09539991369133347
Unclassified	26.5	0.042153450235705485	Wilcoxon signed rank test with continuity correction	two.sided	0.014661446701174493	1.0509997635250532e-4	0.09539991369133347
Porphyromonadaceae Unclassified	26	0.046875000000000014	Wilcoxon signed rank test	two.sided	0.35718226963398936	5.51774875850653e-4	0.10078125000000003
Clostridium XlVb	15	0.05447403510619558	Wilcoxon signed rank test with continuity correction	two.sided	5.780498699387793e-4	0	0.11154207188411475
Bacteroidetes Unclassified	10	0.0718606382258516	Wilcoxon signed rank test with continuity correction	two.sided	1.0509997635250532e-4	0	0.1404548838050736
Bacteroides	25	0.07812500000000003	Wilcoxon signed rank test	two.sided	0.02971701831367088	9.458997871725479e-4	0.1460597826086957
Butyricicoccus	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	0.001103549751701306	0	0.16596056145686552
Olsenella	10	0.09751253817810959	Wilcoxon signed rank test with continuity correction	two.sided	2.8902493496938965e-4	0	0.16596056145686552
Ruminococcus	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	9.721747812606742e-4	0	0.16596056145686552
Bacteroidales Unclassified	14	0.10564542920187692	Wilcoxon signed rank test with continuity correction	two.sided	0.008907222995874826	2.627499408812633e-5	0.16825012798817435
Proteus	0	0.14891467317876567	Wilcoxon signed rank test with continuity correction	two.sided	0	7.882498226437898e-5	0.22869039095310442
Pseudoflavonifractor	6	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	5.51774875850653e-4	0	0.2690453769662439
Eisenbergiella	8.5	0.2692941367197367	Wilcoxon signed rank test with continuity correction	two.sided	3.678499172337686e-4	2.627499408812633e-5	0.38598826263162256
Dorea	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	2.1019995270501064e-4	0	0.46932396733752924
Escherichia/Shigella	0	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	5.254998817625266e-5	0.46932396733752924
Parabacteroides	0	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	5.254998817625266e-5	2.3647494679313697e-4	0.46932396733752924
Prevotella	0	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	0	7.882498226437898e-5	0.46932396733752924
Clostridium IV	6	0.40167816646977295	Wilcoxon signed rank test with continuity correction	two.sided	5.254998817625266e-4	0.005938148663916551	0.4934903188057211
Enterococcus	2.5	0.42371079716679333	Wilcoxon signed rank test with continuity correction	two.sided	2.627499408812633e-5	7.882498226437898e-5	0.5060990077270031
Clostridium sensu stricto	1	1	Wilcoxon signed rank test with continuity correction	two.sided	2.627499408812633e-5	0	1
Lactobacillales Unclassified	0	1	Wilcoxon signed rank test with continuity correction	two.sided	0	7.8824982264379e-5	1
Mucispirillum	0	1	Wilcoxon signed rank test with continuity correction	two.sided	0	5.254998817625266e-5	1
Parasutterella	0	1	Wilcoxon signed rank test with continuity correction	two.sided	0	2.627499408812633e-5	1
Pseudomonadaceae Unclassified	1.5	1	Wilcoxon signed rank test with continuity correction	two.sided	2.627499408812633e-5	2.627499408812633e-5	1
Staphylococcus	0	1	Wilcoxon signed rank test with continuity correction	two.sided	0	2.627499408812633e-5	1
Terrisporobacter	1	1	Wilcoxon signed rank test with continuity correction	two.sided	2.627499408812633e-5	0	1
Acetitomaculum	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Acidaminococcus	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Acinetobacter	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Actinomycetales Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Adhaeribacter	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Alishewanella	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Alphaproteobacteria Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Anaerococcus	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Anaerofustis	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Anaerostipes	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Anaerotruncus	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Anaerovorax	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Aquabacterium	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Asaccharobacter	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Bacillales Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
